,,Crime,PP,PP/Crime
community,policing,1,88,88
of,police,2,147,73.5
police,agencies,1,46,46
washington,dc,1,38,38
in,police,1,29,29
of,community,1,29,29
police,in,1,27,27
the,american,1,25,25
and,how,1,21,21
the,community,1,19,19
university,of,1,19,19
of,justice,2,35,17.5
change,in,1,17,17
and,to,1,16,16
use,of,1,16,16
to,change,1,15,15
how,much,1,14,14
it,may,1,14,14
policing,is,1,14,14
a,more,1,13,13
in,policing,1,13,13
of,terrorism,1,13,13
difficult,to,1,12,12
may,be,3,35,11.66666667
calls,for,1,11,11
designed,to,1,11,11
of,criminal,1,11,11
the,nature,1,11,11
a,number,1,10,10
bureau,of,1,10,10
local,law,1,10,10
strategies,and,1,10,10
the,culture,1,10,10
variety,of,1,10,10
of,information,2,19,9.5
local,police,3,28,9.333333333
policing,the,1,9,9
suggest,that,1,9,9
that,they,2,18,9
the,use,1,9,9
america,s,2,17,8.5
a,variety,1,8,8
agencies,to,1,8,8
and,with,1,8,8
argued,that,1,8,8
do,not,1,8,8
for,police,2,16,8
of,america,1,8,8
of,change,1,8,8
police,departments,3,24,8
size,and,1,8,8
to,police,1,8,8
and,local,2,15,7.5
law,and,2,15,7.5
police,and,4,29,7.25
a,community,1,7,7
a,growing,1,7,7
agencies,are,1,7,7
agencies,in,1,7,7
analysis,of,1,7,7
and,private,1,7,7
be,that,1,7,7
but,we,1,7,7
changing,the,1,7,7
in,these,1,7,7
p,a,1,7,7
p,the,1,7,7
predictive,policing,2,14,7
rather,than,1,7,7
the,emergence,1,7,7
the,evidence,1,7,7
the,research,1,7,7
those,who,1,7,7
in,america,2,13,6.5
s,and,2,13,6.5
there,is,4,26,6.5
and,police,3,19,6.333333333
of,local,3,19,6.333333333
and,education,1,6,6
and,james,1,6,6
approach,to,1,6,6
despite,the,1,6,6
do,so,1,6,6
emergence,of,1,6,6
even,when,1,6,6
given,the,1,6,6
may,have,1,6,6
of,how,1,6,6
of,new,2,12,6
of,these,3,18,6
officers,the,1,6,6
police,are,2,12,6
public,s,1,6,6
s,policing,1,6,6
that,these,1,6,6
the,field,1,6,6
the,military,1,6,6
to,develop,1,6,6
to,learn,1,6,6
the,police,16,94,5.875
and,justice,2,11,5.5
nature,of,2,11,5.5
officers,to,2,11,5.5
of,law,3,16,5.333333333
a,high,1,5,5
a,host,1,5,5
a,major,1,5,5
a,significant,1,5,5
an,organization,1,5,5
and,not,1,5,5
and,some,1,5,5
at,all,1,5,5
but,also,1,5,5
by,police,1,5,5
creation,of,1,5,5
especially,in,1,5,5
even,more,1,5,5
fear,of,1,5,5
few,years,1,5,5
found,that,3,15,5
host,of,1,5,5
how,the,1,5,5
is,more,1,5,5
long,term,1,5,5
most,of,2,10,5
much,of,2,10,5
of,chiefs,1,5,5
of,criminology,1,5,5
of,state,1,5,5
on,site,1,5,5
police,agency,1,5,5
role,in,1,5,5
such,a,2,10,5
terrorist,attacks,1,5,5
that,may,2,10,5
the,communities,1,5,5
the,general,1,5,5
the,growing,1,5,5
the,high,1,5,5
the,work,1,5,5
to,perform,1,5,5
to,say,1,5,5
to,what,1,5,5
where,and,1,5,5
whether,the,1,5,5
with,what,1,5,5
involvement,in,2,9,4.5
levels,of,3,13,4.333333333
a,great,1,4,4
a,model,1,4,4
a,national,2,8,4
a,powerful,1,4,4
a,small,1,4,4
academy,of,2,8,4
and,early,1,4,4
and,homeland,1,4,4
appears,to,1,4,4
as,an,2,8,4
been,used,1,4,4
began,to,1,4,4
but,there,1,4,4
chiefs,of,1,4,4
committed,to,1,4,4
community,and,2,8,4
corruption,and,1,4,4
each,of,1,4,4
form,of,1,4,4
from,other,1,4,4
full,time,1,4,4
in,most,1,4,4
in,what,1,4,4
increase,in,1,4,4
is,changing,1,4,4
late,s,1,4,4
leaders,and,1,4,4
level,of,2,8,4
noted,that,1,4,4
of,course,2,8,4
of,evidence,1,4,4
of,public,1,4,4
on,how,1,4,4
only,a,1,4,4
or,no,1,4,4
people,and,1,4,4
police,from,1,4,4
presence,of,1,4,4
reduce,the,1,4,4
samples,of,1,4,4
that,a,2,8,4
that,officers,1,4,4
the,blue,1,4,4
the,committee,1,4,4
the,creation,1,4,4
the,future,2,8,4
the,notion,1,4,4
the,size,1,4,4
them,in,1,4,4
there,may,1,4,4
this,has,1,4,4
to,deal,1,4,4
to,draw,1,4,4
to,judge,1,4,4
to,observe,1,4,4
to,study,1,4,4
work,of,1,4,4
and,their,3,11,3.666666667
a,highly,2,7,3.5
