	of
a	an
a	and
a	as
a	asymmetry
a	bachelor
a	back
a	bag
a	basis
a	behavioral
a	better
a	bifurcation
a	big
a	bit
a	blast
a	bluetooth
a	body
a	bond
a	book
a	braga
a	broad
a	broader
a	bryant
a	bureaucratic
a	burgeoning
a	burglary
a	campaign
a	car
a	careful
a	case
a	census
a	central
a	certain
a	character
a	chief
a	city
a	clear
a	close
a	cluster
a	cohesive
a	college
a	column
a	combination
a	commander
a	commensurate
a	commitment
a	common
a	community
a	comparative
a	compiled
a	complicated
a	computer
a	conceptual
a	concern
a	consequence
a	consortium
a	contract
a	core
a	couple
a	court
a	craft
a	crew
a	crime
a	criminologist
a	crisis
a	critical
a	cross
a	cultural
a	culture
a	cutting
a	daily
a	day
a	dearth
a	decade
a	decline
a	decrease
a	deep
a	deeply
a	defensive
a	degree
a	department
a	design
a	desire
a	desired
a	detailed
a	determinant
a	deterrent
a	developing
a	diamond
a	difference
a	different
a	disciplinary
a	disinclination
a	distinct
a	distinctive
a	diverse
a	division
a	doctorate
a	dot
a	downtown
a	dramatic
a	dynamic
a	ed
a	education
a	english
a	environment
a	factor
a	family
a	feature
a	federal
a	fever
a	few
a	fire
a	fist
a	five
a	focus
a	follow
a	fondness
a	form
a	formal
a	formalization
a	forward
a	fragmented
a	free
a	frost
a	fruitful
a	full
a	fully
a	fuss
a	fuzzy
a	gathering
a	geller
a	generation
a	george
a	getting
a	given
a	glacial
a	good
a	grassroots
a	great
a	group
a	growing
a	growth
a	hand
a	handful
a	hands
a	haphazard
a	heady
a	hierarchical
a	high
a	higher
a	highly
a	historical
a	home
a	host
a	hunch
a	hurricane
a	iii
a	ironically
a	j
a	jan
a	journal
a	jurisdiction
a	key
a	known
a	lack
a	ladder
a	lake
a	laptop
a	large
a	largely
a	larger
a	law
a	lawsuit
a	legal
a	leitmotif
a	length
a	less
a	level
a	lighter
a	link
a	list
a	little
a	location
a	long
a	longitudinal
a	looking
a	loose
a	lot
a	major
a	man
a	map
a	massive
a	matter
a	means
a	mere
a	meta
a	method
a	metro
a	micro
a	mile
a	million
a	minimax
a	minority
a	model
a	monolithic
a	month
a	more
a	movement
a	much
a	narrow
a	nation
a	national
a	nationally
a	natural
a	need
a	neighborhood
a	net
a	network
a	new
a	ninth
a	normative
a	notable
a	number
a	nurturing
a	organizational
a	p
a	parked
a	part
a	particular
a	partnership
a	path
a	patrol
a	pattern
a	pentecost
a	percent
a	performance
a	period
a	persistent
a	person
a	perspective
a	place
a	point
a	poker
a	police
a	policing
a	popular
a	post
a	powerful
a	practice
a	prediction
a	predictive
a	preference
a	primary
a	problem
a	process
a	professional
a	professor
a	profound
a	project
a	prolific
a	prominent
a	promotion
a	proxy
a	public
a	punch
a	punishable
a	qualified
a	quick
a	radical
a	radically
a	rancho
a	range
a	rapid
a	rash
a	rather
a	rational
a	rationale
a	reactive
a	reality
a	reaves
a	recent
a	recession
a	reduced
a	reexamination
a	reflection
a	reform
a	relationship
a	reliable
a	reluctance
a	remarkable
a	remarkably
a	remote
a	replication
a	representative
a	restrictive
a	result
a	review
a	rich
a	rigorous
a	robbery
a	robust
a	routine
a	rural
a	sample
a	santa
a	say
a	schafer
a	science
a	sea
a	second
a	self
a	sense
a	serial
a	series
a	set
a	sheet
a	significant
a	similar
a	similarly
a	single
a	situation
a	sizable
a	skeptic
a	skeptical
a	skogan
a	slightly
a	slim
a	slow
a	small
a	smaller
a	snappy
a	sociological
a	software
a	somewhat
a	sort
a	special
a	spice
a	stack
a	standard
a	station
a	steering
a	still
a	stop
a	story
a	straightforward
a	street
a	strengthening
a	string
a	strong
a	study
a	subsequent
a	substantial
a	success
a	sufficient
a	summary
a	survey
a	suspect
a	sustained
a	system
a	systematic
a	systemwide
a	tale
a	team
a	technical
a	technology
a	term
a	test
a	the
a	theoretical
a	theory
a	this
a	thus
a	time
a	timely
a	traditional
a	transformation
a	treatise
a	trend
a	troubled
a	tuch
a	two
a	types
a	useful
a	valley
a	valuable
a	variety
a	very
a	view
a	violence
a	viral
a	vital
a	way
a	weisheit
a	well
a	while
a	whim
a	wide
a	willis
a	workplace
a	world
a	wycoff
a	year
a	young
a	zero
aaron	wildavsky
abate	when
abc	world
abetted	by
ability	of
ability	to
able	to
about	alleged
about	american
about	arrests
about	crime
about	differences
about	e
about	enforcing
about	evidence
about	fighting
about	getting
about	government
about	half
about	how
about	implementing
about	industry
about	investing
about	it
about	measurement
about	past
about	paul
about	people
about	percent
about	peter
about	places
about	police
about	predictive
about	previous
about	some
about	strawberry
about	such
about	terrorism
about	the
about	their
about	this
about	three
about	to
about	two
about	using
about	what
about	which
about	who
above	langworthy
above	rate
above	suggests
above	two
abraham	n
abroad	crawford
abroad	oxford
abroad	scientists
absence	of
absent	organizational
absolutely	made
absorb	pressures
absorb	these
abstract	american
abstract	principle
abstract	the
abuse	n
abuse	of
abuse	they
abuses	of
abusive	practices
academic	papers
academic	than
academics	he
academies	press
academy	of
acc	no
accelerated	substantially
accept	its
accept	lateral
accept	or
accept	these
acceptable	criminal
acceptable	responses
acceptance	adoption
acceptance	among
acceptance	and
acceptance	of
acceptance	within
accepted	and
accepting	culture
accepting	new
accepting	of
accessed	and
accessibility	across
accessibility	and
accessibility	of
accessible	to
accolade	the
accolades	than
accommodate	the
accommodative	of
accompanying	organizational
accomplish	c
accomplish	more
accomplish	worthy
accomplished	and
accomplished	are
accomplished	by
accomplished	is
accomplished	on
accomplished	only
accomplishing	a
accomplishing	their
accomplishing	this
accomplishing	widespread
accomplishment	or
accordance	with
according	to
accordingly	the
account	for
account	the
accountability	but
accountability	systems
accountability	to
accountable	autonomy
accountable	for
accountants	if
accounted	for
accounting	for
accounts	recently
accredit	and
accreditation	of
accreditation	unpublished
accumulate	deep
accumulated	extensive
accurate	as
accurate	it
accurate	the
accurately	predicted
accurately	reported
accusations	of
accustomed	to
achieve	a
achieve	because
achieve	compliance
achieve	these
achieved	and
achieved	federal
achieved	in
achieved	parity
achieved	percent
achieved	widespread
achieved	with
achieving	a
achieving	community
achieving	economies
achieving	even
achieving	their
achieving	this
achieving	widespread
acknowledge	that
acknowledge	the
acknowledged	that
acquiescence	to
acquire	and
acquire	rubinstein
acquire	sherman
acquire	special
acquire	the
acquired	by
acquired	over
acquiring	and
acquiring	comparable
acquiring	recording
acre	kremlin
across	america
across	american
across	departments
across	different
across	jurisdictions
across	large
across	metropolitan
across	multiple
across	the
across	them
act	as
act	in
act	on
act	washington
acting	on
action	an
action	changes
action	falls
action	hughes
action	in
action	made
action	social
action	that
actionable	events
actionable	patterns
actions	may
actions	taken
actions	that
actions	with
actionsowner	rightsadaptationcopyright
activate	either
active	involvement
active	level
active	representation
actively	engage
actively	engaged
actively	undermine
activities	are
activities	at
activities	increases
activities	of
activities	or
activities	so
activities	social
activities	that
activities	to
activity	between
activity	occurs
activity	of
actual	behavior
actual	change
actual	delivery
actual	implementation
actual	police
actual	practice
actual	reduction
actually	account
actually	dispersed
actually	do
actually	focuses
actually	increase
actually	occurred
actually	structure
actuarial	age
actuarial	innovations
acute	sense
adam	s
adam	the
adapt	to
adapt	tracking
adaptability	of
adaptations	to
adapted	and
adapted	from
adapted	to
adaptive	they
add	to
added	each
added	new
added	now
added	police
added	that
added	to
added	we
adding	officers
adding	that
adding	to
addition	mutual
addition	there
addition	to
additional	percent
additional	uncertainty
address	the
addressed	several
addressing	this
adds	a
adds	before
adds	to
adept	users
adequate	slack
adhere	to
adherence	among
adherence	to
adhering	to
adjudicating	civil
adjust	those
administration	and
administration	during
administration	hage
administration	of
administration	or
administration	quarterly
administration	review
administrative	actions
administrative	density
administrative	duties
administrative	extensive
administrative	hearings
administrative	intensity
administrative	interventions
administrative	jobs
administrative	lieutenant
administrative	matters
administrative	policy
administrative	rulings
administrative	science
administrative	staff
administrative	statistics
administrative	supervisory
administrative	tasks
administrative	theory
administrators	faced
administrators	receive
administrators	the
adopt	a
adopt	an
adopt	and
adopt	it
adopt	many
adopt	once
adopt	them
adopted	and
adopted	because
adopted	community
adopted	over
adopted	to
adopters	develop
adopting	an
adopting	departments
adopting	innovations
adopting	the
adopting	this
adoption	and
adoption	of
adoption	we
adult	leaves
advance	for
advance	their
advanced	in
advanced	one
advanced	software
advanced	through
advanced	to
advancement	on
advancement	to
advancements	have
advancements	of
advances	improve
advances	in
advancing	the
advantage	of
advantaged	neighbors
advocacy	of
advocates	argue
advocates	as
advocates	encouraged
advocates	has
affairs	it
affect	police
affect	the
affected	such
affecting	organizational
affecting	the
affects	their
affirmative	action
afflicted	with
afford	an
afford	large
afford	opportunities
afford	poor
afford	small
afford	to
affordable	for
affording	the
afghanistan	seventeen
afoot	in
african	american
after	a
after	all
after	an
after	concern
after	crimes
after	descendants
after	leading
after	reading
after	six
after	the
after	there
after	they
after	two
after	wave
afternoon	in
afternoon	swing
aftershock	after
aftershock	model
aftershocks	and
aftershocks	from
aftershocks	will
again	as
again	which
against	a
against	expectations
against	police
against	prediction
against	the
age	chicago
age	journal
age	of
age	the
agencies	allen
agencies	also
agencies	although
agencies	an
agencies	and
agencies	appear
agencies	are
agencies	around
agencies	as
agencies	bayley
agencies	became
agencies	between
agencies	bulletin
agencies	bureau
agencies	but
agencies	claimed
agencies	committed
agencies	computers
agencies	conducted
agencies	context
agencies	distribute
agencies	do
agencies	drawing
agencies	during
agencies	embedded
agencies	especially
agencies	evaluated
agencies	even
agencies	explaining
agencies	first
agencies	from
agencies	geller
agencies	grow
agencies	hardly
agencies	have
agencies	here
agencies	in
agencies	into
agencies	klockars
agencies	like
agencies	makes
agencies	marks
agencies	may
agencies	mr
agencies	necessarily
agencies	not
agencies	nowadays
agencies	of
agencies	or
agencies	over
agencies	parks
agencies	policing
agencies	president
agencies	providing
agencies	remain
agencies	reported
agencies	section
agencies	sheriff
agencies	showed
agencies	suggests
agencies	surveyed
agencies	than
agencies	that
agencies	the
agencies	there
agencies	they
agencies	throughout
agencies	to
agencies	today
agencies	undoubtedly
agencies	used
agencies	vary
agencies	washington
agencies	what
agencies	with
agencies	would
agencies	wycoff
agencies	yet
agency	accreditation
agency	consolidation
agency	in
agency	leaders
agency	or
agency	performance
agency	producing
agency	says
agency	size
agency	structure
agency	there
agency	we
agenda	for
agendas	interact
agents	becker
agents	it
agents	of
aggravated	assaults
aggressive	and
aggressive	enforcement
aggressive	patrolling
aggressively	into
agile	able
ago	albert
ago	the
agree	to
agreement	on
agreements	and
agreements	often
ahead	of
aid	according
aid	agreements
aims	to
air	conditioner
air	force
air	national
air	show
akin	to
al	and
al	but
al	given
al	greene
al	international
al	klockars
al	less
al	note
al	p
al	pp
al	second
al	skogan
al	smith
al	spelman
al	the
al	thus
al	we
al	whether
al	willis
al	wilson
alan	a
alan	not
alarming	increases
albany	state
albeit	at
albeit	largely
albeit	performed
albert	j
albert	reiss
alcohol	compliance
alert	for
alert	to
alerts	it
alex	piquero
alexander	the
alexandria	va
alexis	de
alexis	democracy
alfred	and
alfred	blumstein
algorithm	if
algorithm	to
algorithmic	methods
algorithms	has
algorithms	he
algorithms	or
algorithms	stir
algorithms	to
alienation	and
alienation	isolation
alike	as
all	american
all	as
all	aspects
all	at
all	be
all	been
all	clear
all	crimes
all	good
all	in
all	instances
all	is
all	it
all	kinds
all	levels
all	measures
all	movements
all	of
all	others
all	police
all	related
all	respondents
all	rights
all	seeing
all	started
all	sworn
all	that
all	these
all	this
all	three
all	understanding
allacademic	com
alleged	misconduct
allen	and
allen	david
allen	et
allen	what
alleviate	this
allocate	resources
allocation	as
allocation	to
allocations	for
allow	people
allow	practitioners
allow	the
