   1589 los	angeles
    860 angeles	county
    808 recipient	los
    808 county	bar
    808 bar	foundation
    500 of	documents
    500 load	date
    465 rights	reserved
    465 all	rights
    435 inc	all
    405 url	http
    405 foundation	donor
    404 year	transaction
    404 verigift	charitable
    404 transaction	summary
    404 taxcode	url
    404 system	inc
    404 summary	donation
    404 reserved	verigift
    404 related	donor
    404 recipient	details
    404 range	usd
    404 org	location
    404 location	los
    404 legal	related
    404 last	updated
    404 lacba	org
    404 iwave	recipient
    404 iwave	information
    404 information	system
    404 http	lacba
    404 giving	by
    404 foundation	taxcode
    404 donor	type
    404 donor	details
    404 donation	year
    404 donation	type
    404 donation	range
    404 documents	copyright
    404 details	recipient
    404 details	donor
    404 crime	legal
    404 copyright	iwave
    404 charitable	giving
    404 category	crime
    404 ca	category
    404 by	iwave
    404 angeles	ca
    388 type	individuals
    388 individuals	load
    244 updated	december
    244 december	donation
    218 date	december
    217 usd	recipient
    211 december	of
    199 date	january
    192 january	of
    187 usd	unspecified
    187 unspecified	recipient
    178 in	the
    161 type	memorial
    161 memorial	donation
    160 updated	november
    160 november	donation
    133 type	cumulative
    133 of	the
    133 cumulative	donation
    120 ktla	tv
    106 tv	los
    102 type	annual
    102 gift	donation
    102 annual	gift
     96 publication	type
     96 length	words
     96 language	english
     95 type	newspaper
     89 to	the
     85 sheriff	s
     70 on	the
     67 at	the
     66 distributed	by
     65 the	los
     65 mcclatchy	tribune
     65 by	mcclatchy
     63 in	a
     61 reserved	of
     56 and	the
     55 newspaper	copyright
     49 information	services
     47 news	length
     46 of	a
     46 he	said
     46 for	the
     45 it	s
     44 l	a
     44 angeles	distributed
     42 year	old
     42 from	the
     41 group	inc
     40 newspaper	journal
     40 journal	code
     39 the	city
     38 to	be
     38 according	to
     37 with	a
     36 police	department
     36 county	sheriff
     33 tribune	business
     33 section	state
     33 in	los
     33 english	acc
     33 business	news
     33 angeles	section
     33 acc	no
     32 tribune	information
     32 state	and
     32 section	news
     32 said	the
     32 s	department
     32 regional	news
     32 he	was
     32 has	been
     32 and	regional
     32 a	year
     31 information	about
     31 english	graphic
     30 www	ktla
     30 no	la
     30 la	copyright
     30 ktla	com
     30 donor	linda
     30 documents	ktla
     30 copyright	of
     30 code	la
     30 c	ktla
     30 byline	ktla
     30 angeles	police
     29 block	of
     28 with	the
     28 was	arrested
     28 english	publication
     28 donor	john
     28 donor	james
     28 at	a
     28 and	los
     28 about	the
     27 to	a
     26 the	block
     26 gang	members
     26 donor	hon
     26 crime	stoppers
     25 one	of
     25 a	m
     24 san	gabriel
     24 p	m
     24 of	los
     24 for	more
     24 donor	david
     24 com	load
     24 by	the
     23 more	information
     22 the	crime
     22 services	load
     22 graphic	publication
     22 gabriel	valley
     22 as	a
     21 to	see
     21 the	lapd
     21 out	of
     21 on	a
     21 medianews	group
     21 is	a
     21 copyright	medianews
     21 a	crime
     20 newspaper	group
     20 more	than
     20 la	brf
     20 inc	and
     20 hate	crime
     20 for	a
     20 donor	michael
     20 documents	the
     20 angeles	newspaper
     19 the	daily
     19 officials	said
     19 and	a
     18 the	first
     18 services	for
     18 said	he
     18 of	his
     18 it	was
     18 go	to
     18 donor	patricia
     18 daily	news
     18 at	www
     17 visit	www
     17 the	s
     17 the	content
     17 that	the
     17 sex	crimes
     17 services	offered
     17 new	york
     17 mct	information
     17 http	www
     17 com	distributed
     17 by	mct
     16 www	mctinfoservices
     16 visit	ktla
     16 to	http
     16 the	suspects
     16 services	mct
     16 see	more
     16 s	a
     16 pg	length
     16 offered	by
     16 more	of
     16 mctinfoservices	com
     16 mct	visit
     16 june	language
     16 it	is
     16 don	t
     16 documents	san
     16 date	june
     16 date	august
     16 copyright	c
     16 content	services
     16 com	copyright
     16 august	language
     16 angeles	visit
     16 angeles	at
     15 with	information
     15 type	corporations
     15 to	get
     15 the	year
     15 suspicion	of
     15 on	suspicion
     15 law	enforcement
     15 harry	bosch
     15 from	a
     15 corporations	load
     14 will	be
     14 valley	tribune
     14 tv	go
     14 tribune	california
     14 the	suspect
     14 the	sheriff
     14 santa	cruz
     14 pg	a
     14 of	ktla
     14 if	you
     14 high	desert
     14 donor	thomas
     14 donor	richard
     14 donor	laura
     14 donor	charles
     14 district	attorney
     14 crime	is
     14 city	of
     14 charged	with
     14 arrested	on
     14 anyone	with
     14 a	length
     13 words	los
     13 up	to
     13 the	san
     13 the	police
     13 pasadena	police
     13 is	the
     13 crime	in
     13 a	hate
     12 who	is
     12 we	are
     12 to	crimes
     12 tip	to
     12 the	woman
     12 the	website
     12 the	same
     12 the	program
     12 the	new
     12 the	investigation
     12 the	high
     12 the	fbi
     12 the	department
     12 that	s
     12 that	he
     12 s	office
     12 public	safety
     12 of	gang
     12 news	pg
     12 news	of
     12 into	the
     12 in	his
     12 have	been
     12 gangster	squad
     12 donor	gerald
     12 crime	data
     12 crime	and
     12 as	the
     12 angeles	times
     12 angeles	and
     12 a	new
     11 your	tip
     11 was	found
     11 valley	edition
     11 to	provide
     11 to	contact
     11 tipla	plus
     11 there	s
     11 the	public
     11 the	men
     11 task	force
     11 s	officials
     11 plus	your
     11 part	of
     11 number	of
     11 november	language
     11 media	all
     11 in	front
     11 he	had
     11 had	been
     11 front	of
     11 first	media
     11 down	percent
     11 digital	first
     11 date	november
     11 copyright	digital
     11 call	crime
     11 based	on
     11 and	he
     11 after	the
     11 after	a
     11 a	man
     11 a	los
     10 with	his
     10 who	was
     10 using	the
     10 the	letters
     10 texting	the
     10 superior	court
     10 stoppers	by
     10 s	zakheim
     10 rosalyn	s
     10 police	said
     10 police	chief
     10 medical	marijuana
     10 linda	auerbach
     10 letters	tipla
     10 last	year
     10 lacrimestoppers	org
     10 john	j
     10 john	d
     10 is	being
     10 in	crime
     10 he	is
     10 he	has
     10 el	monte
     10 donor	rosalyn
     10 did	not
     10 dialing	tips
     10 department	has
     10 copyright	the
     10 city	s
     10 charles	a
     10 by	dialing
     10 beck	said
     10 be	a
     10 arrested	in
     10 a	noire
     10 a	city
      9 when	you
      9 when	the
      9 van	nuys
      9 to	take
      9 there	was
      9 the	state
      9 the	nation
      9 the	man
      9 palos	verdes
      9 on	april
      9 michael	connelly
      9 may	call
      9 judge	and
      9 crimes	or
      9 crime	rate
      9 attorney	s
      9 and	other
      8 which	is
      8 website	http
      8 was	the
      8 was	in
      8 use	of
      8 trying	to
      8 to	death
      8 tips	texting
      8 they	are
      8 the	study
      8 the	shooting
      8 the	second
      8 the	last
      8 the	gangster
      8 the	county
      8 south	pasadena
      8 she	was
      8 she	is
      8 san	bernardino
      8 said	it
      8 said	in
      8 s	heinke
      8 rex	s
      8 reported	the
      8 police	departments
      8 police	are
      8 paul	diaz
      8 patricia	l
      8 patricia	egan
      8 parker	said
      8 on	thursday
      8 of	an
      8 mike	anthony
      8 man	was
      8 m	to
      8 linda	m
      8 limited	all
      8 leanne	e
      8 lawrence	f
      8 james	r
      8 j	collins
      8 involved	in
      8 http	lacrimestoppers
      8 going	to
      8 final	edition
      8 february	language
      8 f	liebenbaum
      8 egan	daehnke
      8 e	maillian
      8 during	a
      8 drug	trafficking
      8 donor	robin
      8 donor	rex
      8 donor	patrick
      8 donor	matthew
      8 donor	mark
      8 donor	leanne
      8 donor	lawrence
      8 donor	karen
      8 donor	jane
      8 donor	gregory
      8 donor	donald
      8 donor	don
      8 donor	deborah
      8 donor	anthony
      8 donor	allan
      8 don	mike
      8 department	s
      8 date	february
      8 d	taylor
      8 can	be
      8 byline	by
      8 by	a
      8 but	the
      8 being	held
      8 because	of
      8 auerbach	allderdice
      8 assault	with
      8 as	well
      8 anthony	paul
      8 angeles	the
      8 angeles	superior
      8 and	was
      8 allan	lasher
      8 african	american
      8 accused	of
      8 able	to
      8 a	home
      8 a	black
      7 you	re
      7 you	prefer
      7 you	may
      7 words	nov
      7 we	have
      7 u	s
      7 to	make
      7 to	call
      7 this	year
      7 there	were
      7 the	victim
      7 the	story
      7 the	scene
      7 the	rand
      7 the	national
      7 the	muslim
      7 the	lowest
      7 that	will
      7 such	as
      7 stolen	property
      7 staff	writer
      7 san	fernando
      7 s	very
      7 s	the
      7 s	deputies
      7 remain	anonymous
      7 rancho	palos
      7 provide	information
      7 prefer	to
      7 police	officers
      7 over	the
      7 org	c
      7 or	using
      7 on	march
      7 of	rape
      7 news	november
      7 news	california
      7 muslim	community
      7 may	be
      7 man	who
      7 long	beach
      7 january	language
      7 is	in
      7 information	anonymously
      7 in	to
      7 in	santa
      7 in	l
      7 how	many
      7 high	school
      7 have	to
      7 for	information
      7 fair	oaks
      7 division	of
      7 death	of
      7 date	april
      7 d	love
      7 crimes	in
      7 crimereports	com
      7 crime	rates
      7 crime	pays
      7 crime	fighting
      7 been	arrested
      7 b	wood
      7 april	language
      7 anonymously	you
      7 and	that
      7 and	property
      7 and	community
      7 allderdice	last
      7 allderdice	donor
      7 about	a
      7 a	woman
      7 a	lot
      7 a	gang
      7 a	division
      6 you	have
      6 writer	section
      6 wilbur	f
      6 where	he
      6 when	he
      6 we	re
      6 was	shot
      6 was	reported
      6 warner	bros
      6 w	santochi
      6 w	brill
      6 violent	crime
      6 victor	w
      6 victim	s
      6 v	farber
      6 up	the
      6 type	event
      6 two	men
      6 tsg	reporting
      6 to	p
      6 to	keep
      6 to	determine
      6 to	commit
      6 thomas	j
      6 this	incident
      6 they	re
      6 the	world
      6 the	victorville
      6 the	truth
      6 the	smallest
      6 the	owner
      6 the	most
      6 the	incident
      6 the	hyatt
      6 the	grand
      6 the	following
      6 the	dog
      6 the	center
      6 that	there
      6 t	heartney
      6 su	lyn
      6 staff	reports
      6 sponsorship	donation
      6 some	of
      6 since	the
      6 shot	to
      6 shooting	at
      6 sherwood	street
      6 sheriff	baca
      6 shay	wald
      6 sharon	cohn
      6 scott	colebank
      6 santa	monica
      6 sally	pryor
      6 said	that
      6 said	and
      6 s	ettinger
      6 s	creator
      6 ronnie	c
      6 robin	c
      6 richard	chernick
      6 richard	b
      6 returned	to
      6 reporting	inc
      6 r	feldman
      6 r	birnberg
      6 r	avirom
      6 pryor	cultural
      6 property	crimes
      6 possession	of
      6 policing	program
      6 place	in
      6 people	in
      6 pays	for
      6 patrick	m
      6 orange	county
      6 on	tuesday
      6 of	their
      6 of	our
      6 of	its
      6 of	homicides
      6 of	dispensaries
      6 october	language
      6 oaks	avenue
      6 night	out
      6 newport	beach
      6 n	adler
      6 mrs	harvey
      6 mike	switzer
      6 michael	allderdice
      6 meryl	k
      6 matthew	t
      6 margaret	m
      6 march	language
      6 mannis	and
      6 man	found
      6 man	charged
      6 m	stude
      6 m	sallus
      6 m	morrow
      6 m	mcdowell
      6 m	kelly
      6 m	at
      6 lyn	combs
      6 look	at
      6 lisa	hill
      6 linda	l
      6 linda	d
      6 led	to
      6 laura	w
      6 laura	v
      6 latest	book
      6 larry	r
      6 lapd	s
      6 la	crime
      6 l	stevenson
