,,CRIME,PP,PP/CRIME
santa,clara,1,24,24
clara,university,1,22,22
cruz,police,2,41,20.5
crime,analyst,1,13,13
george,mohler,1,11,11
years,of,1,11,11
zach,friend,1,11,11
first,in,1,10,10
mohler,and,1,10,10
nation,to,1,10,10
analyst,for,1,9,9
car,and,1,8,8
model,to,1,8,8
when,it,1,8,8
the,santa,3,23,7.666666667
santa,cruz,14,105,7.5
predictive,policing,5,37,7.4
and,santa,1,7,7
if,a,1,7,7
santacruzsentinel,com,1,7,7
says,it,1,7,7
to,prevent,1,7,7
for,example,2,13,6.5
a,police,1,6,6
crimes,will,1,6,6
cruz,mohler,1,6,6
earthquake,prediction,1,6,6
friend,who,1,6,6
future,crimes,1,6,6
leaders,met,1,6,6
met,with,1,6,6
mohler,about,1,6,6
not,to,1,6,6
on,property,1,6,6
police,leaders,1,6,6
sentinel,calif,1,6,6
the,country,1,6,6
think,the,1,6,6
to,santa,1,6,6
when,and,1,6,6
will,occur,1,6,6
with,mohler,1,6,6
are,more,1,5,5
he,ll,1,5,5
is,going,1,5,5
months,of,1,5,5
on,crime,1,5,5
s,an,1,5,5
said,zach,1,5,5
the,data,1,5,5
the,project,1,5,5
to,arrest,1,5,5
try,to,1,5,5
where,i,1,5,5
is,not,4,18,4.5
a,computer,1,4,4
a,way,1,4,4
agencies,around,1,4,4
are,being,1,4,4
are,not,1,4,4
arrested,and,1,4,4
at,ucla,1,4,4
code,qc,1,4,4
compared,with,1,4,4
copyright,santa,1,4,4
could,help,1,4,4
crime,with,1,4,4
cruz,sentinel,5,20,4
data,is,1,4,4
day,the,1,4,4
department,said,1,4,4
documents,santa,1,4,4
focused,on,1,4,4
for,instance,1,4,4
found,that,1,4,4
happen,in,1,4,4
house,in,1,4,4
it,will,2,8,4
it,worked,1,4,4
leveraging,technology,1,4,4
locations,and,1,4,4
mercury,news,2,8,4
might,not,1,4,4
no,one,1,4,4
no,qc,1,4,4
of,it,1,4,4
of,us,1,4,4
on,patrol,1,4,4
people,who,1,4,4
police,now,1,4,4
prevent,it,1,4,4
program,is,1,4,4
qc,copyright,1,4,4
re,the,1,4,4
results,to,1,4,4
s,data,1,4,4
said,george,1,4,4
sentinel,california,1,4,4
sentinel,of,1,4,4
so,that,1,4,4
so,with,1,4,4
technology,in,1,4,4
tend,to,1,4,4
the,neighborhood,1,4,4
the,next,1,4,4
the,research,1,4,4
the,researchers,1,4,4
the,targeted,1,4,4
the,worst,1,4,4
times,and,1,4,4
to,build,1,4,4
to,return,2,8,4
to,talk,1,4,4
unclear,why,1,4,4
vehicle,burglaries,1,4,4
way,that,1,4,4
we,ve,1,4,4
where,future,1,4,4
will,receive,1,4,4
work,at,1,4,4
www,santacruzsentinel,1,4,4
year,and,1,4,4
you,could,1,4,4
the,time,3,11,3.666666667
more,efficient,2,7,3.5
the,program,12,42,3.5
burglaries,and,3,10,3.333333333
a,full,1,3,3
and,vehicles,1,3,3
and,we,2,6,3
area,that,1,3,3
as,we,1,3,3
burglaries,in,1,3,3
but,rather,1,3,3
calls,for,1,3,3
copyright,san,1,3,3
crime,friend,1,3,3
cruz,friend,1,3,3
department,will,1,3,3
fight,crime,1,3,3
first,six,1,3,3
five,months,1,3,3
he,added,1,3,3
is,where,1,3,3
jose,mercury,2,6,3
kind,of,2,6,3
news,all,1,3,3
of,ucla,1,3,3
of,where,1,3,3
policing,in,2,6,3
professor,at,2,6,3
program,to,2,6,3
rather,than,1,3,3
researchers,to,1,3,3
s,predictive,1,3,3
the,end,1,3,3
the,future,1,3,3
to,as,1,3,3
to,fight,1,3,3
to,include,1,3,3
with,crime,3,9,3
worked,on,1,3,3
of,crime,4,11,2.75
friend,and,3,8,2.666666667
program,which,3,8,2.666666667
to,use,3,8,2.666666667
an,earthquake,2,5,2.5
i,d,2,5,2.5
is,that,4,10,2.5
new,system,2,5,2.5
program,was,2,5,2.5
said,friend,2,5,2.5
seen,a,2,5,2.5
t,happen,2,5,2.5
the,highest,2,5,2.5
we,re,6,15,2.5
in,santa,7,17,2.428571429
data,from,5,12,2.4
by,time,3,7,2.333333333
doesn,t,3,7,2.333333333
a,car,2,4,2
a,certain,1,2,2
a,decrease,1,2,2
a,downtown,1,2,2
a,focus,1,2,2
a,matter,1,2,2
a,neighborhood,2,4,2
a,person,4,8,2
a,street,1,2,2
a,success,1,2,2
a,team,2,4,2
abc,world,1,2,2
about,implementing,1,2,2
about,using,1,2,2
accolade,the,1,2,2
accolades,than,1,2,2
actual,reduction,1,2,2
after,an,1,2,2
after,crimes,1,2,2
aftershock,after,1,2,2
aftershock,model,1,2,2
again,which,1,2,2
ahead,of,1,2,2
all,been,1,2,2
all,this,1,2,2
also,help,1,2,2
also,looking,1,2,2
an,aftershock,1,2,2
an,email,1,2,2
an,initial,1,2,2
and,both,1,2,2
and,decided,1,2,2
and,devices,1,2,2
and,holographic,1,2,2
and,law,1,2,2
and,lt,1,2,2
and,motor,1,2,2
and,on,2,4,2
and,provided,1,2,2
and,shot,1,2,2
and,when,2,4,2
annually,other,1,2,2
another,accolade,1,2,2
apple,s,1,2,2
approach,mohler,1,2,2
are,apple,1,2,2
are,honored,1,2,2
as,one,2,4,2
at,these,1,2,2
auto,theft,1,2,2
bad,guys,1,2,2
be,leveraging,1,2,2
be,recognized,1,2,2
be,so,1,2,2
been,named,1,2,2
been,praised,1,2,2
being,recognized,1,2,2
being,worked,1,2,2
bernie,escalante,1,2,2
