of 1 of 1
a bachelor 1 1
a better 1 1
a big 4 4
a burglary 2 1
a car 2 4
a certain 1 2
a community 1 1
a computer 1 4
a crime 21 22
a decrease 1 2
a downtown 1 2
a few 2 3
a focus 1 2
a full 1 3
a group 2 2
a high 3 2
a home 8 8
a large 3 2
a length 14 1
a location 1 1
a lot 7 8
a matter 1 2
a more 3 2
a national 2 2
a neighborhood 2 4
a new 12 8
a percent 2 1
a person 4 8
a place 6 1
a police 1 6
a professor 3 2
a second 5 1
a stop 1 1
a street 1 2
a success 1 2
a team 2 4
a way 1 4
a year 32 4
a young 2 1
abc world 1 2
able to 8 2
about implementing 1 2
about the 28 8
about using 1 2
acc no 33 4
accolade the 1 2
accolades than 1 2
across the 3 1
actual reduction 1 2
adding that 1 1
addition to 1 1
after a 11 4
after an 1 2
after crimes 1 2
after the 11 3
after they 3 2
after two 2 1
aftershock after 1 2
aftershock model 1 2
again which 1 2
agencies around 1 4
ahead of 1 2
akin to 1 1
all been 1 2
all rights 465 8
all this 1 2
along with 6 1
already in 2 1
already seen 1 1
also help 1 2
also looking 1 2
among others 2 2
among the 2 2
an aftershock 1 2
an earthquake 2 5
an email 1 2
an initial 1 2
an internal 1 1
an officer 4 5
an outstanding 1 1
analysis of 4 2
analyst for 1 9
and a 19 6
and both 1 2
and crime 6 2
and decided 1 2
and devices 1 2
and gang 2 1
and has 2 2
and he 11 5
and his 1 1
and holographic 1 2
and how 4 2
and i 4 1
and in 4 2
and law 1 2
and lt 1 2
and many 1 1
and more 6 3
and motor 1 2
and not 2 1
and on 2 4
and other 9 7
and police 3 4
and provided 1 2
and regional 32 4
and santa 1 7
and say 2 1
and shot 1 2
and since 2 2
and that 7 4
and the 56 12
and thefts 1 1
and they 2 2
and two 3 1
and use 1 1
and vehicles 1 3
and was 8 1
and we 2 6
and when 2 4
and will 2 2
angeles and 12 9
angeles is 3 2
angeles police 30 4
angeles times 12 4
angeles to 1 1
annually other 1 2
another accolade 1 2
apple s 1 2
apple valley 2 1
approach mohler 1 2
are also 3 2
are apple 1 2
are being 1 4
are honored 1 2
are more 1 5
are not 1 4
are often 2 1
are on 3 2
are part 2 1
area that 1 3
area where 3 2
around the 6 5
arrested and 1 4
arrested for 4 2
as a 22 4
as an 5 2
as he 3 2
as it 2 1
as los 2 1
as one 2 4
as part 2 1
as the 12 11
as they 4 1
as we 1 3
as well 8 3
asked to 6 1
at a 28 9
at it 3 2
at p 3 4
at the 67 15
at these 1 2
at ucla 1 4
at www 18 2
aug after 1 1
august language 16 3
august sunday 1 1
august tuesday 1 1
auto theft 1 2
bachelor s 1 1
back in 2 1
bad guys 1 2
based on 11 14
be a 10 2
be able 2 2
be leveraging 1 2
be picked 1 1
be recognized 1 2
be so 1 2
be the 4 5
beach police 3 4
became the 3 2
because it 1 1
because they 3 4
been a 2 1
been named 1 2
been on 1 1
been praised 1 2
before the 3 2
being named 2 2
being recognized 1 2
being the 2 2
being worked 1 2
bernardino county 2 1
bernie escalante 1 2
best inventions 1 2
best new 1 2
big honor 1 2
blocks that 1 1
bratton the 1 1
break ins 1 2
bringing the 1 2
budget cuts 1 2
burglaries and 3 10
burglaries in 1 3
business news 33 4
but even 2 1
but i 3 2
but if 1 2
but rather 1 3
but the 8 5
but what 2 2
by a 8 6
by analyzing 1 2
by mcclatchy 65 8
by mct 17 2
by media 1 2
by none 1 1
by santa 1 2
by the 24 9
by time 3 7
byline by 8 7
byline jessica 1 1
c the 2 2
calif at 1 2
calif distributed 1 2
calif section 2 4
calif visit 1 2
california distributed 2 4
california january 1 2
california july 1 2
california november 2 1
call for 1 1
called after 1 2
calls for 1 3
came from 1 1
can also 3 2
can be 8 5
can do 1 1
can help 1 2
can lead 1 2
can say 3 1
can t 4 1
car and 1 8
car thefts 2 2
change in 1 1
chicago police 1 2
chief in 1 2
chief kevin 1 2
chief of 1 2
cities on 1 1
city hall 1 2
city it 1 1
city leaders 2 1
city police 1 2
city s 10 8
city will 2 2
clara university 1 22
code qc 1 4
coincidence that 1 1
columnists length 1 1
com copyright 16 2
com distributed 17 2
com load 24 3
coming months 3 4
commit a 2 1
committed by 2 1
committed in 2 2
community safer 1 2
company of 1 1
compared with 1 4
content services 16 2
continue to 2 2
contra costa 2 4
copyright c 16 2
copyright contra 1 2
copyright international 1 1
copyright medianews 21 1
copyright san 1 3
copyright santa 1 4
copyright the 10 1
costa newspapers 1 2
costa times 1 2
could be 5 3
could help 1 4
couldn t 3 2
county sheriff 36 1
coverage and 1 2
created a 1 2
crime analyst 1 13
crime and 12 10
crime byline 5 3
crime data 12 19
crime during 1 1
crime fighting 7 7
crime for 1 1
crime friend 1 3
crime has 2 1
crime in 13 10
crime information 6 1
crime is 14 10
crime maps 1 2
crime news 1 2
crime occurred 1 1
crime prevention 6 4
crime rates 7 2
crime reports 3 5
crime s 1 1
crime said 1 1
crime statistics 2 4
crime the 6 4
crime to 4 2
crime trends 3 3
crime types 1 2
crime unit 1 1
crime with 1 4
crimes and 3 2
crimes following 1 2
crimes including 4 4
crimes said 1 2
crimes the 3 3
crimes to 3 4
crimes were 4 3
crimes will 1 6
criminals are 1 1
cruz calif 1 1
cruz friend 1 3
cruz mohler 1 6
cruz police 2 41
cruz predictive 2 2
cruz sentinel 5 20
cruz the 2 4
cuts a 1 2
d have 1 1
d processors 1 2
data for 1 1
data from 5 12
data is 1 4
data on 2 2
date august 16 3
date december 218 1
date february 8 1
date january 199 5
date july 5 1
date november 11 2
day the 1 4
days after 2 4
days of 3 2
dealing with 2 2
december language 6 1
december thursday 1 1
decided to 2 2
decrease in 3 3
department about 1 2
department became 1 2
department for 3 2
department get 1 2
department has 10 2
department he 2 1
department it 1 2
department s 8 15
department said 1 4
department to 1 2
department we 1 2
department will 1 3
departments are 1 2
departments dealing 1 2
departments for 1 2
desert region 4 1
deter crime 1 2
determine where 1 2
developed the 1 2
devices that 1 2
diane sawyer 1 2
director of 2 1
distributed by 66 9
district and 1 1
division which 1 2
divisions friend 1 2
do a 2 2
do is 1 2
documents contra 1 2
documents san 16 3
documents santa 1 4
documents the 20 2
doesn t 3 7
doing a 1 1
doing it 2 4
don t 16 10
down percent 11 2
dr george 1 1
drop in 5 3
due to 5 3
during the 5 2
during times 1 2
earlier this 3 2
early s 3 1
earthquake aftershock 1 2
earthquake in 1 2
earthquake prediction 1 6
ease the 1 2
easy to 4 1
economic troubles 1 2
edition final 1 1
effect on 1 1
effective way 1 2
efforts to 1 2
electric car 2 2
end up 2 2
enforcement agencies 6 6
english acc 33 4
english graphic 31 7
english publication 28 2
entire santa 1 2
equalize the 1 2
escalante visited 1 2
even the 5 2
ever be 3 2
example of 1 1
executive director 1 1
expect that 2 1
experience of 1 2
faced with 1 2
features in 1 2
february language 8 1
fight crime 1 3
first half 2 1
first in 1 10
first read 1 2
first six 1 3
five months 1 3
focus on 2 2
focused a 1 2
focused on 1 4
following an 1 2
follows the 1 1
for a 20 1
for all 6 2
for crime 1 2
for everyone 1 2
for example 2 13
for helping 1 2
for his 4 3
for instance 1 4
for its 2 2
for longer 1 1
for more 24 2
for our 2 2
for the 46 11
for thursday 1 1
for years 5 3
found that 1 4
friend and 3 8
friend c 1 1
friend first 1 2
friend spokesman 1 2
friend who 1 6
from a 15 5
from california 1 1
from los 1 1
from santa 1 1
from the 42 6
from to 2 4
from with 1 2
full analysis 1 2
full text 1 1
future crime 1 1
future crimes 1 6
gap there 1 2
garnered yet 1 2
george mohler 1 11
get ahead 1 2
given the 1 2
go to 18 4
going on 3 3
going to 8 8
graphic photo 4 1
graphic publication 22 5
grew up 2 1
group inc 41 1
group of 5 2
guys it 1 2
had been 11 3
half of 4 2
happen in 1 4
happened in 1 1
happens when 1 2
has a 5 1
has been 32 9
has garnered 1 2
has not 5 1
has seen 1 2
has started 1 2
has to 2 2
has yet 1 2
have a 6 5
have all 1 2
have been 12 6
have people 3 1
have the 2 1
have to 7 6
he added 1 3
he d 1 2
he feels 1 1
he helped 1 1
he is 10 8
he ll 1 5
he s 4 4
he said 46 25
he says 1 2
he was 32 6
he will 3 1
head of 2 3
heard from 1 2
help ease 1 2
help equalize 1 2
help people 1 2
helping the 1 2
herald tribune 2 2
him with 1 2
his new 1 1
his wife 1 1
holographic mapping 1 2
home when 2 4
home which 1 2
honor but 1 2
honored by 1 2
honored to 2 3
hopes to 2 2
house in 1 4
house on 1 2
how its 1 2
how to 3 6
http www 17 3
hundreds of 2 1
i d 2 5
i don 3 2
i have 4 1
i m 4 5
i never 3 2
i think 6 8
idea is 1 1
identified the 2 2
if a 1 7
if that 1 2
if the 3 3
implementation other 1 2
implemented in 1 2
implemented the 1 2
implementing it 1 2
implementing the 1 2
importance given 1 2
important is 1 2
in a 63 20
in addition 5 1
in bringing 1 2
in business 1 1
in city 2 1
in crime 10 4
in crimes 3 2
in january 3 2
in july 5 9
in late 2 1
in los 33 9
in newsstands 1 1
in november 2 4
in one 5 2
in previous 1 2
in rancho 5 1
in san 3 1
in santa 7 17
in some 5 4
in that 4 3
in the 178 65
in their 4 4
in these 1 2
in those 2 1
in time 1 1
in to 7 5
in town 1 1
inc all 435 1
includes burglaries 1 2
including features 1 2
including the 3 4
including two 1 2
increasing importance 1 2
information about 31 3
information services 49 6
information that 3 2
initial crime 1 2
initially using 1 2
innovation including 1 2
innovation is 1 2
instead of 2 1
instrumental in 1 2
international herald 2 2
into custody 2 2
into implementing 1 2
into the 12 5
inventions as 1 2
inventions byline 1 2
inventions honored 1 2
inventions in 1 2
inventions issue 1 2
inventions of 1 2
ipad the 1 2
is a 21 4
is all 2 1
is already 4 3
is an 6 3
is based 5 4
is being 10 2
is going 1 5
is in 7 2
is like 1 2
is more 3 6
is not 4 18
is on 3 1
is one 2 3
is that 4 10
is the 13 5
is three 1 2
is to 3 1
is where 1 3
isn t 6 4
issue annually 1 2
issue which 1 2
it a 1 2
it and 2 2
it can 1 1
it could 1 1
it doesn 1 2
it down 1 1
it from 2 1
it has 2 3
it he 1 2
it implemented 1 2
it in 3 4
it is 16 4
it joins 1 2
it makes 1 1
it s 45 43
it seems 3 2
it to 3 1
it turns 1 2
it was 18 8
it will 2 8
it worked 1 4
its best 1 2
its divisions 1 2
its innovation 1 2
its use 2 1
its worked 1 2
january friday 1 2
january language 7 5
january saturday 1 2
january sunday 2 1
january the 1 2
jessica m 1 2
joined the 3 1
joins the 1 2
jose mercury 2 6
journal code 40 4
july and 2 2
july language 5 1
july to 1 2
