,,,CRIME,PP,PP/CRIME
santa,clara,university,1,22,22
santa,cruz,police,2,41,20.5
cruz,police,department,1,11,11
the,santa,cruz,2,19,9.5
analyst,for,the,1,9,9
in,santa,cruz,2,17,8.5
crime,analyst,for,1,8,8
and,santa,cruz,1,7,7
cruz,police,leaders,1,6,6
cruz,sentinel,calif,1,6,6
first,in,the,1,6,6
friend,and,santa,1,6,6
i,think,the,1,6,6
leaders,met,with,1,6,6
met,with,mohler,1,6,6
nation,to,use,1,6,6
on,property,crimes,1,6,6
police,leaders,met,1,6,6
santa,cruz,mohler,1,6,6
the,department,s,1,6,6
the,first,in,1,6,6
the,nation,to,1,6,6
to,santa,cruz,1,6,6
with,crime,data,1,6,6
with,mohler,and,1,6,6
as,the,city,1,5,5
of,crime,data,1,5,5
said,zach,friend,1,5,5
a,home,when,1,4,4
a,way,that,1,4,4
acc,no,qc,1,4,4
agencies,around,the,1,4,4
and,he,is,1,4,4
and,the,police,1,4,4
and,we,re,1,4,4
be,the,first,1,4,4
by,a,computer,1,4,4
code,qc,copyright,1,4,4
copyright,santa,cruz,1,4,4
crimes,will,occur,1,4,4
cruz,sentinel,california,1,4,4
cruz,sentinel,of,1,4,4
documents,santa,cruz,1,4,4
enforcement,agencies,around,1,4,4
future,crimes,will,1,4,4
in,a,way,1,4,4
in,the,neighborhood,1,4,4
it,s,an,1,4,4
journal,code,qc,1,4,4
leveraging,technology,in,1,4,4
long,beach,police,1,4,4
of,crime,reports,1,4,4
of,documents,santa,1,4,4
of,the,program,1,4,4
police,department,said,1,4,4
qc,copyright,santa,1,4,4
said,we,re,1,4,4
santa,cruz,sentinel,5,20,4
sentinel,calif,section,1,4,4
sentinel,california,distributed,1,4,4
sentinel,of,documents,1,4,4
technology,in,a,1,4,4
that,crime,is,1,4,4
the,coming,months,1,4,4
the,crime,is,1,4,4
the,program,is,1,4,4
the,program,to,1,4,4
they,are,not,1,4,4
to,be,the,1,4,4
to,prevent,it,1,4,4
using,the,program,1,4,4
when,it,was,1,4,4
where,future,crimes,1,4,4
with,the,researchers,1,4,4
www,santacruzsentinel,com,1,4,4
said,it,s,2,7,3.5
by,time,magazine,1,3,3
copyright,san,jose,1,3,3
crime,byline,by,1,3,3
documents,san,jose,1,3,3
first,six,months,1,3,3
honored,to,be,1,3,3
is,going,to,1,3,3
jose,mercury,news,2,6,3
mercury,news,all,1,3,3
mercury,news,california,1,3,3
news,all,rights,1,3,3
newspaper,copyright,san,1,3,3
of,the,police,1,3,3
san,jose,mercury,2,6,3
santa,cruz,friend,1,3,3
says,it,s,1,3,3
to,fight,crime,1,3,3
the,program,was,2,5,2.5
a,big,honor,1,2,2
a,crime,and,1,2,2
a,crime,fighting,1,2,2
a,decrease,in,1,2,2
a,focus,on,1,2,2
a,full,analysis,1,2,2
a,large,reduction,1,2,2
a,lot,less,1,2,2
a,matter,of,1,2,2
abc,world,news,1,2,2
about,implementing,it,1,2,2
about,the,predictive,1,2,2
about,using,the,1,2,2
accolade,the,program,1,2,2
accolades,than,we,1,2,2
actual,reduction,said,1,2,2
after,an,earthquake,1,2,2
after,crimes,following,1,2,2
after,the,first,1,2,2
after,they,were,1,2,2
aftershock,after,an,1,2,2
aftershock,model,to,1,2,2
again,which,have,1,2,2
ahead,of,the,1,2,2
all,been,named,1,2,2
also,help,ease,1,2,2
also,looking,into,1,2,2
among,others,being,1,2,2
among,the,top,1,2,2
an,aftershock,after,1,2,2
an,earthquake,aftershock,1,2,2
an,earthquake,in,1,2,2
an,initial,crime,1,2,2
and,crime,analyst,1,2,2
and,decided,to,1,2,2
and,devices,that,1,2,2
and,holographic,mapping,1,2,2
and,how,its,1,2,2
and,law,enforcement,1,2,2
and,lt,bernie,1,2,2
and,motor,vehicle,1,2,2
and,on,abc,1,2,2
and,provided,him,1,2,2
and,since,then,1,2,2
and,the,accolades,1,2,2
angeles,times,last,1,2,2
annually,other,inventions,1,2,2
another,accolade,the,1,2,2
apple,s,siri,1,2,2
approach,mohler,about,1,2,2
are,also,looking,1,2,2
are,apple,s,1,2,2
are,honored,to,1,2,2
area,where,the,1,2,2
around,the,nation,1,2,2
as,he,was,1,2,2
as,one,of,2,4,2
as,the,ipad,1,2,2
at,a,home,2,4,2
at,the,same,2,4,2
at,www,santacruzsentinel,1,2,2
bad,guys,it,1,2,2
based,on,earthquake,1,2,2
be,leveraging,technology,1,2,2
be,recognized,by,1,2,2
be,so,called,1,2,2
became,the,first,1,2,2
been,named,among,1,2,2
been,praised,by,1,2,2
being,named,as,1,2,2
being,recognized,by,1,2,2
being,worked,on,1,2,2
bernie,escalante,visited,1,2,2
best,inventions,of,1,2,2
best,new,inventions,1,2,2
big,honor,but,1,2,2
bringing,the,program,1,2,2
budget,cuts,a,1,2,2
burglaries,and,motor,1,2,2
but,what,s,1,2,2
by,media,outlets,1,2,2
by,santa,clara,1,2,2
by,time,is,1,2,2
by,time,this,1,2,2
c,the,santa,1,2,2
calif,at,www,1,2,2
calif,distributed,by,1,2,2
calif,section,state,2,4,2
calif,visit,the,1,2,2
california,distributed,by,2,4,2
called,after,crimes,1,2,2
can,also,help,1,2,2
can,help,equalize,1,2,2
car,and,devices,1,2,2
chief,kevin,vogel,1,2,2
city,police,department,1,2,2
clara,university,s,1,2,2
community,safer,the,1,2,2
continue,to,be,1,2,2
contra,costa,newspapers,1,2,2
contra,costa,times,1,2,2
copyright,contra,costa,1,2,2
costa,newspapers,all,1,2,2
costa,times,california,1,2,2
coverage,and,the,1,2,2
crime,data,from,3,6,2
crime,friend,and,1,2,2
crime,in,a,1,2,2
crime,news,local,1,2,2
crime,types,which,1,2,2
crimes,following,an,1,2,2
crimes,said,zach,1,2,2
crimes,the,department,1,2,2
cruz,friend,first,1,2,2
cruz,mohler,developed,1,2,2
cruz,sentinel,scotts,2,4,2
cruz,the,city,1,2,2
cruz,the,program,1,2,2
cuts,a,matter,1,2,2
d,processors,and,1,2,2
data,from,with,1,2,2
dealing,with,shrinking,1,2,2
decided,to,approach,1,2,2
decrease,in,the,1,2,2
department,about,using,1,2,2
department,became,the,1,2,2
department,get,ahead,1,2,2
department,has,seen,1,2,2
department,it,s,1,2,2
department,we,re,1,2,2
department,will,work,1,2,2
departments,are,also,1,2,2
departments,dealing,with,1,2,2
determine,where,future,1,2,2
developed,the,program,1,2,2
devices,that,help,1,2,2
diane,sawyer,among,1,2,2
division,which,is,1,2,2
divisions,friend,and,1,2,2
do,a,full,1,2,2
documents,contra,costa,1,2,2
due,to,budget,1,2,2
earthquake,aftershock,model,1,2,2
earthquake,in,that,1,2,2
earthquake,prediction,technology,1,2,2
ease,the,pain,1,2,2
economic,troubles,technological,1,2,2
electric,car,and,1,2,2
entire,santa,cruz,1,2,2
equalize,the,gap,1,2,2
escalante,visited,lapd,1,2,2
features,in,the,1,2,2
first,read,about,1,2,2
focus,on,property,1,2,2
focused,a,lot,1,2,2
following,an,initial,1,2,2
for,helping,the,1,2,2
for,its,innovation,1,2,2
for,our,predictive,1,2,2
for,the,department,1,2,2
for,the,police,1,2,2
friend,and,lt,1,2,2
friend,first,read,1,2,2
friend,spokesman,and,1,2,2
friend,who,was,1,2,2
from,with,a,1,2,2
full,analysis,of,1,2,2
gap,there,said,1,2,2
garnered,yet,another,1,2,2
george,mohler,in,1,2,2
get,ahead,of,1,2,2
given,the,nation,1,2,2
guys,it,joins,1,2,2
has,been,praised,1,2,2
has,garnered,yet,1,2,2
has,seen,a,1,2,2
has,started,testing,1,2,2
has,yet,to,1,2,2
have,all,been,1,2,2
help,ease,the,1,2,2
help,equalize,the,1,2,2
help,people,walk,1,2,2
helping,the,department,1,2,2
him,with,crime,1,2,2
holographic,mapping,we,1,2,2
home,which,is,1,2,2
honor,but,what,1,2,2
honored,by,time,1,2,2
how,its,worked,1,2,2
implementation,other,police,1,2,2
implemented,in,july,1,2,2
implemented,the,department,1,2,2
implementing,it,in,1,2,2
implementing,the,program,1,2,2
importance,given,the,1,2,2
important,is,that,1,2,2
in,bringing,the,1,2,2
in,crimes,said,1,2,2
in,january,the,1,2,2
in,previous,years,1,2,2
in,that,the,1,2,2
in,the,coming,2,4,2
in,the,new,3,6,2
in,the,nov,1,2,2
in,the,targeted,1,2,2
includes,burglaries,and,1,2,2
including,features,in,1,2,2
increasing,importance,given,1,2,2
initial,crime,friend,1,2,2
initially,using,data,1,2,2
innovation,including,features,1,2,2
innovation,is,the,1,2,2
instrumental,in,bringing,1,2,2
into,implementing,the,1,2,2
inventions,as,the,1,2,2
inventions,honored,by,1,2,2
inventions,in,previous,1,2,2
inventions,issue,annually,1,2,2
inventions,of,by,1,2,2
ipad,the,electric,1,2,2
is,a,big,1,2,2
is,a,crime,1,2,2
is,being,named,1,2,2
is,that,since,1,2,2
is,the,key,1,2,2
is,three,times,1,2,2
issue,annually,other,1,2,2
issue,which,is,1,2,2
it,doesn,t,1,2,2
it,implemented,in,1,2,2
it,in,santa,1,2,2
it,joins,the,1,2,2
it,s,similar,1,2,2
it,turns,out,1,2,2
it,was,a,1,2,2
its,best,new,1,2,2
its,divisions,friend,1,2,2
its,innovation,including,1,2,2
its,worked,in,1,2,2
january,the,police,1,2,2
jessica,m,pasko,1,2,2
joins,the,ranks,1,2,2
july,and,since,1,2,2
keeps,our,community,1,2,2
kevin,vogel,innovation,1,2,2
key,to,modern,1,2,2
lapd,earlier,this,1,2,2
lapd,has,started,1,2,2
large,reduction,in,1,2,2
last,year,and,1,2,2
less,on,the,1,2,2
like,this,can,1,2,2
looking,into,implementing,1,2,2
lot,less,on,1,2,2
lt,bernie,escalante,1,2,2
magazine,for,our,1,2,2
magazine,in,the,1,2,2
mapping,we,are,1,2,2
matter,of,increasing,1,2,2
media,outlets,and,1,2,2
members,of,the,1,2,2
model,predicts,that,1,2,2
model,to,determine,1,2,2
modern,policing,and,1,2,2
mohler,about,implementing,1,2,2
mohler,and,provided,1,2,2
mohler,developed,the,1,2,2
mohler,in,the,1,2,2
months,of,implementation,1,2,2
more,important,is,1,2,2
motor,vehicle,thefts,1,2,2
much,of,a,1,2,2
named,among,the,1,2,2
named,as,one,1,2,2
nation,for,its,1,2,2
nation,s,economic,1,2,2
new,inventions,issue,1,2,2
news,with,diane,1,2,2
newspaper,copyright,contra,1,2,2
newspaper,go,to,1,2,2
newspapers,all,rights,1,2,2
newsstands,the,program,1,2,2
nov,issue,which,1,2,2
november,wednesday,time,1,2,2
occur,initially,using,1,2,2
of,an,aftershock,1,2,2
of,departments,dealing,1,2,2
of,documents,contra,1,2,2
of,implementation,other,1,2,2
of,increasing,importance,1,2,2
of,its,divisions,1,2,2
of,such,inventions,1,2,2
