predictive,policing,1,234,234
to,a,1,109,109
the,criminal,1,98,98
on,the,2,171,85.5
by,the,1,83,83
of,a,2,161,80.5
law,enforcement,1,76,76
may,be,1,74,74
u,s,2,143,71.5
there,is,1,71,71
community,policing,1,68,68
and,the,3,198,66
the,police,1,65,65
that,the,2,125,62.5
crime,and,1,58,58
is,not,1,56,56
police,department,1,56,56
can,be,1,55,55
criminal,activity,1,53,53
a,crime,1,50,50
to,reduce,1,50,50
united,states,2,96,48
able,to,1,46,46
from,the,2,80,40
in,an,1,40,40
likely,to,1,40,40
the,community,1,40,40
on,a,3,116,38.66666667
and,that,1,38,38
is,a,2,72,36
that,they,1,36,36
and,a,1,34,34
to,be,4,126,31.5
and,to,1,31,31
if,the,1,31,31
police,officers,1,30,30
there,are,1,30,30
types,of,1,30,30
in,a,6,174,29
into,the,1,29,29
a,high,1,28,28
in,their,1,28,28
more,than,1,28,28
in,addition,1,27,27
with,the,4,101,25.25
for,a,2,50,25
as,the,2,48,24
that,is,1,24,24
do,not,1,23,23
where,the,1,23,23
of,police,1,22,22
would,be,2,44,22
to,the,11,237,21.54545455
is,the,2,43,21.5
new,york,2,43,21.5
the,current,1,21,21
the,problem,1,21,21
the,time,1,21,21
this,is,1,21,21
to,community,1,21,21
with,a,3,61,20.33333333
of,the,27,544,20.14814815
at,a,3,60,20
is,no,1,20,20
officers,are,1,19,19
the,area,1,19,19
they,can,1,19,19
but,the,1,18,18
the,first,2,36,18
the,united,2,36,18
as,a,6,106,17.66666667
of,cases,1,17,17
to,do,1,17,17
to,predict,2,33,16.5
have,been,3,49,16.33333333
about,the,2,32,16
of,its,1,16,16
the,case,1,16,16
the,law,1,16,16
when,the,1,16,16
the,same,3,47,15.66666667
at,the,7,108,15.42857143
and,its,1,15,15
be,the,1,15,15
the,past,1,15,15
in,the,30,444,14.8
across,the,1,14,14
all,of,1,14,14
because,of,1,14,14
compared,to,1,14,14
it,may,1,14,14
it,s,1,14,14
outside,the,1,14,14
those,who,2,27,13.5
to,make,2,27,13.5
crime,will,1,13,13
has,been,3,39,13
he,was,1,13,13
instead,of,1,13,13
not,to,1,13,13
part,i,1,13,13
problem,of,1,13,13
that,in,1,13,13
the,county,1,13,13
the,individual,1,13,13
a,few,1,12,12
and,time,1,12,12
back,to,1,12,12
data,driven,1,12,12
out,of,2,24,12
the,process,1,12,12
the,s,1,12,12
who,is,1,12,12
at,least,3,34,11.33333333
number,of,5,56,11.2
account,of,1,11,11
against,the,1,11,11
department,of,1,11,11
fact,that,1,11,11
if,you,1,11,11
is,in,1,11,11
may,have,1,11,11
over,the,1,11,11
some,of,3,33,11
the,suspect,1,11,11
they,have,1,11,11
to,local,1,11,11
up,to,1,11,11
a,man,1,10,10
and,are,1,10,10
around,the,1,10,10
than,the,1,10,10
that,has,1,10,10
that,police,1,10,10
those,in,1,10,10
to,prevent,1,10,10
we,have,1,10,10
will,occur,1,10,10
you,can,1,10,10
for,the,11,104,9.454545455
and,i,1,9,9
consequences,of,1,9,9
crime,in,3,27,9
during,the,2,18,9
for,this,1,9,9
for,those,1,9,9
like,the,1,9,9
many,of,1,9,9
