	of	documents
a	a	b
a	a	therapeutic
a	al	capone
a	alec	campbell
a	an	alternative
a	and	david
a	andrew	v
a	anonymity	and
a	anonymity	defined
a	anthropologist	who
a	as	the
a	as	well
a	attacking	crime
a	authorizes	intelligence
a	available	at
a	b	c
a	b	cockpit
a	b	e
a	b	l
a	bad	way
a	badge	may
a	bag	even
a	bag	in
a	bag	outside
a	balance	between
a	bank	of
a	bank	officer
a	bar	fight
a	baseball	coach
a	baseball	team
a	basic	component
a	basic	police
a	basis	for
a	basketball	player
a	battered	women
a	batterer	has
a	bayesian	analysis
a	bb	ef
a	beat	within
a	beating	the
a	beautiful	old
a	beck	lynda
a	bed	with
a	beeper	did
a	behavior	but
a	behavioral	scientist
a	behavioural	scientist
a	belief	that
a	berk	the
a	berman	re
a	best	practice
a	beta	version
a	better	approach
a	better	chance
a	better	health
a	better	healthcare
a	better	relationship
a	better	system
a	better	understanding
a	better	word
a	bicyclist	and
a	bid	to
a	big	brother
a	big	data
a	big	earthquake
a	big	fault
a	big	issue
a	big	spike
a	big	surprise
a	bigger	one
a	bigger	portion
a	bill	to
a	billion	dollar
a	billion	effort
a	binder	et
a	binder	susan
a	bit	far
a	bit	odd
a	bit	of
a	bitter	falling
a	black	bag
a	blatz	of
a	blend	of
a	blind	control
a	blind	eye
a	block	face
a	block	identified
a	block	or
a	blog	punditwire
a	blog	sometimes
a	blood	relation
a	blood	sample
a	bloodhound	or
a	blueprint	for
a	bmw	in
a	body	of
a	bold	new
a	bolder	model
a	book	describing
a	book	i
a	book	in
a	book	on
a	bookcase	and
a	booking	on
a	bookish	man
a	bookseller	could
a	bookstore	browse
a	boon	for
a	boost	commercial
a	boost	p
a	boost	process
a	bore	or
a	borough	or
a	bottom	line
a	boundary	in
a	boundary	on
a	boundary	to
a	box	for
a	box	that
a	bozza	benevolent
a	braga	et
a	braga	u
a	break	from
a	breakdown	of
a	brief	actuarial
a	brief	but
a	brief	detour
a	brief	etymology
a	brief	history
a	brief	overview
a	brief	primer
a	brief	time
a	briefing	the
a	bright	line
a	broad	analysis
a	broad	array
a	broad	debate
a	broad	evidence
a	broad	variety
a	broader	context
a	broader	effort
a	broader	framework
a	broader	national
a	broader	order
a	broader	range
a	broader	scale
a	broader	time
a	broken	street
a	broken	taillight
a	broken	windows
a	brown	attache
a	buccal	swab
a	budget	of
a	bulge	in
a	bully	or
a	bunch	of
a	burden	on
a	bureau	of
a	burglar	acquires
a	burglar	breaks
a	burglar	entered
a	burglar	is
a	burglar	on
a	burglar	profile
a	burglarized	residence
a	burglary	and
a	burglary	in
a	burglary	is
a	burglary	occurs
a	burglary	pattern
a	burglary	problem
a	burglary	properties
a	burglary	the
a	burgled	property
a	bus	n
a	bus	stop
a	bus	where
a	business	baskin
a	business	had
a	butler	creating
a	by	foot
a	by	square
a	bystander	hit
a	c	d
a	c	faith
a	c	publication
a	cage	for
a	cal	mun
a	calendar	on
a	caliber	handgun
a	caliber	pistol
a	california	firm
a	california	statute
a	call	box
a	call	to
a	call	where
a	camera	or
a	can	do
a	candidate	were
a	capable	guardian
a	capacity	for
a	capacity	has
a	captain	which
a	car	a
a	car	and
a	car	associated
a	car	dashboard
a	car	illuminated
a	car	in
a	car	is
a	car	n
a	car	sitting
a	car	theft
a	car	with
a	caravan	observed
a	carbon	copy
a	carceral	response
a	carceral	sentence
a	career	library
a	careful	approach
a	careful	evaluation
a	careful	exploration
a	careful	reflective
a	carefully	limited
a	caring	group
a	case	against
a	case	and
a	case	back
a	case	before
a	case	by
a	case	for
a	case	from
a	case	in
a	case	involving
a	case	is
a	case	later
a	case	like
a	case	may
a	case	of
a	case	our
a	case	study
a	case	that
a	casual	acquaintance
a	casual	observer
a	casual	rumor
a	catalyst	for
a	catastrophe	motivated
a	catholic	as
a	causal	model
a	causal	relationship
a	cause	a
a	cause	and
a	cause	lawyer
a	cautionary	tale
a	cave	far
a	cbs	new
a	cell	at
a	central	node
a	central	part
a	central	role
a	central	tower
a	century	ago
a	century	for
a	century	of
a	century	prevailing
a	century	they
a	certain	action
a	certain	area
a	certain	block
a	certain	corner
a	certain	crime
a	certain	danger
a	certain	degree
a	certain	distance
a	certain	extent
a	certain	geographic
a	certain	level
a	certain	measure
a	certain	outcome
a	certain	period
a	certain	point
a	certain	respect
a	certain	result
a	certain	source
a	certain	time
a	certain	timeframe
a	certain	type
a	certain	uncontested
a	certificate	and
a	certified	public
a	challenge	for
a	challenge	using
a	challenger	baca
a	champion	and
a	chance	on
a	chandelier	in
a	change	in
a	charles	joe
a	chat	with
a	check	once
a	checklist	approach
a	checklist	of
a	chi	analysis
a	chi	can
a	chi	for
a	chi	into
a	chi	to
a	chi	works
a	chi	would
a	child	in
a	child	marital
a	children	s
a	chinese	restaurant
a	choice	and
a	choice	between
a	choice	or
a	choice	that
a	choice	would
a	christopher	beam
a	church	basement
a	citizen	call
a	citizen	croft
a	citizen	may
a	citizen	s
a	city	adrift
a	city	as
a	city	block
a	city	but
a	city	consultant
a	city	in
a	city	it
a	city	its
a	city	or
a	city	policy
a	city	s
a	city	where
a	city	with
a	citywide	reduction
a	civil	contempt
a	civil	forfeiture
a	civil	lawsuit
a	civil	restraining
a	civilian	investigation
a	claim	that
a	clarke	jr
a	clarke	school
a	class	and
a	class	of
a	classic	physical
a	clear	dialogue
a	clear	indication
a	clear	understanding
a	clearing	house
a	clearinghouse	for
a	client	and
a	client	centered
a	client	for
a	client	hires
a	client	if
a	client	in
a	client	is
a	client	of
a	client	or
a	client	prioritizes
a	client	s
a	client	struggling
a	client	to
a	client	trades
a	client	who
a	client	whose
a	clinic	and
a	clinical	professor
a	clinical	program
a	clinical	trial
a	close	case
a	close	look
a	close	relationship
a	close	temporal
a	close	view
a	closed	circuit
a	closer	and
a	closer	look
a	cloud	based
a	cluster	and
a	cluster	n
a	cluster	of
a	coarsening	of
a	code	to
a	codis	search
a	cognitive	affective
a	cognitive	reframing
a	coherent	new
a	coherent	strategy
a	coin	the
a	cole	fingerprint
a	colgan	let
a	collaboration	and
a	collaborative	approach
a	collaborative	team
a	collaborative	way
a	colleague	who
a	collective	sequence
a	collectivist	frame
a	colonial	town
a	column	metropolitan
a	com	puter
a	combination	of
a	combined	measure
a	comment	on
a	commentator	observed
a	commissioner	s
a	commitment	to
a	common	benchmark
a	common	currency
a	common	investigation
a	common	legal
a	common	rubric
a	common	theme
a	commonly	used
a	communicable	disease
a	communicative	or
a	community	combat
a	community	could
a	community	ethic
a	community	improvement
a	community	is
a	community	must
a	community	n
a	community	news
a	community	or
a	community	plagued
a	community	prosecution
a	community	prosecutor
a	community	s
a	community	that
a	community	the
a	community	then
a	community	there
a	community	they
a	community	this
a	company	called
a	company	named
a	company	poring
a	company	receiving
a	company	that
a	company	to
a	comparative	academic
