    627 supra	note
    541 of	the
    481 in	the
    480 law	enforcement
    457 note	at
    429 n	see
    322 u	s
    282 and	the
    278 at	n
    251 to	the
    238 http	www
    219 reasonable	suspicion
    208 on	the
    203 n	the
    195 big	data
    176 community	engagement
    168 n	id
    166 to	be
    164 as	a
    157 id	at
    154 e	g
    151 predictive	policing
    151 of	a
    150 in	a
    148 that	the
    143 fourth	amendment
    140 l	rev
    140 at	http
    139 community	policing
    138 united	states
    135 the	fbi
    130 with	the
    129 n	in
    126 at	the
    121 see	also
    119 see	e
    116 high	crime
    109 muslim	communities
    108 the	police
    103 criminal	activity
    100 et	al
     98 from	the
     97 for	the
     96 is	a
     96 for	example
     93 criminal	justice
     92 at	a
     91 new	york
     90 it	is
     85 to	a
     84 note	n
     84 id	n
     84 can	be
     80 likely	to
     80 by	the
     80 based	on
     76 the	same
     76 national	security
     76 information	about
     75 the	fourth
     74 is	not
     74 available	at
     73 perma	cc
     73 n	y
     73 http	perma
     73 archived	at
     72 such	as
     69 of	community
     67 as	the
     66 for	a
     66 broken	windows
     65 the	criminal
     64 the	information
     63 with	a
     63 use	of
     63 of	these
     63 of	criminal
     62 about	the
     61 the	suspect
     60 dep	t
     60 a	suspect
     59 the	united
     59 the	government
     59 of	law
     58 there	is
     58 sex	offender
     58 n	this
     57 has	been
     57 enforcement	agencies
     56 that	a
     55 the	reasonable
     55 states	v
     55 more	than
     55 justice	system
     54 n	for
     53 will	be
     53 they	are
     53 police	department
     53 of	this
     53 n	as
     53 data	collection
     52 to	identify
     52 police	officers
     52 do	not
     52 crime	area
     51 on	a
     50 young	people
     50 of	big
     49 y	times
     49 of	crime
     49 l	j
     48 violent	extremism
     48 of	information
     48 number	of
     48 a	person
     47 the	new
     47 the	data
     47 of	justice
     46 s	n
     46 of	police
     46 have	been
     46 bureau	of
     45 the	federal
     45 stop	and
     45 see	id
     45 part	of
     45 more	likely
     45 in	an
     45 does	not
     45 civil	rights
     45 an	officer
     44 the	law
     44 t	of
     44 supreme	court
     44 statement	of
     44 may	be
     44 is	the
     44 a	police
     44 a	particular
     43 the	officer
     43 see	generally
     43 n	and
     42 there	are
     42 the	court
     42 policing	and
     42 a	crime
     41 third	party
     41 the	state
     41 of	their
     41 of	investigation
     41 into	the
     41 an	individual
     40 this	article
     40 pm	http
     40 engagement	efforts
     40 crime	and
     40 community	outreach
     40 access	to
     39 windows	theory
     39 the	public
     39 police	officer
     39 police	and
     39 juvenile	justice
     39 data	to
     39 and	other
     38 the	community
     38 police	departments
     38 gang	databases
     38 are	not
     38 and	that
     38 and	community
     37 used	to
     37 omitted	n
     37 of	data
     37 last	visited
     37 involved	in
     37 are	more
     36 must	be
     36 homeland	security
     36 homeland	sec
     36 al	supra
     35 with	muslim
     35 of	predictive
     35 of	childhood
     35 from	a
     35 crime	areas
     35 american	muslims
     35 a	criminal
     34 working	with
     34 totality	of
     34 officer	s
     34 is	to
     34 in	which
     34 in	criminal
     34 fed	bureau
     34 am	http
     33 offender	registration
     33 of	homeland
     33 los	angeles
     33 juvenile	court
     33 in	their
     33 enforcement	to
     33 data	mining
     33 civil	liberties
     32 with	communities
     32 the	supreme
     32 the	nypd
     32 the	national
     32 the	juvenile
     32 that	they
     32 social	media
     32 should	be
     32 probable	cause
     32 of	an
     32 noting	that
     32 data	is
     32 as	well
     32 about	a
     31 to	justify
     31 person	s
     31 of	radicalization
     31 n	these
     31 information	is
     31 in	these
     31 fbi	gov
     31 criminal	history
     31 between	the
     31 and	frisk
     31 according	to
     31 able	to
     30 to	law
     30 that	is
     30 suspect	s
     30 state	and
     30 rev	n
     30 policing	software
     30 personal	information
     30 n	u
     30 l	a
     30 information	to
     30 focus	on
     30 federal	government
     30 el	monte
     30 communities	n
     30 communities	and
     30 be	a
     30 across	the
     30 a	high
     29 to	predict
     29 the	totality
     29 rather	than
     29 of	youth
     29 is	that
     29 and	to
     29 a	result
     28 the	use
     28 see	infra
     28 s	dep
     28 radicalization	and
     28 policing	technologies
     28 police	to
     28 out	of
     28 of	policing
     28 n	while
     28 is	no
     28 in	this
     28 have	a
     28 government	s
     28 fbi	s
     28 because	the
     28 at	statement
     28 amount	of
     28 ability	to
     28 a	stop
     27 would	be
     27 the	u
