in,new,york,1,80,80
in,order,to,1,64,64
more,likely,to,1,58,58
the,use,of,2,86,43
www,nytimes,com,1,41,41
http,www,nytimes,1,40,40
to,law,enforcement,1,38,38
in,other,words,1,36,36
there,is,a,1,32,32
by,the,police,1,30,30
of,law,enforcement,1,28,28
a,police,officer,1,27,27
part,of,a,1,27,27
the,nypd,s,1,27,27
police,officers,and,1,26,26
the,university,of,1,26,26
it,is,a,1,25,25
the,absence,of,1,25,25
at,the,time,1,24,24
law,enforcement,to,1,24,24
that,it,is,1,24,24
to,be,a,1,22,22
in,the,case,1,21,21
to,the,police,1,21,21
www,fbi,gov,1,20,20
the,chicago,police,1,19,19
an,analysis,of,1,18,18
chicago,police,department,1,18,18
the,amount,of,1,18,18
the,department,of,1,18,18
as,well,as,4,68,17
of,the,crime,1,17,17
part,of,the,2,34,17
police,use,of,1,17,17
the,police,have,1,17,17
to,say,that,1,17,17
it,would,be,1,16,16
l,a,times,1,16,16
of,the,most,1,16,16
that,there,is,1,16,16
the,need,to,1,16,16
the,police,department,1,16,16
the,u,s,4,64,16
it,is,the,1,15,15
police,department,s,1,15,15
the,federal,government,1,15,15
university,of,california,1,15,15
at,the,university,1,14,14
because,they,are,1,14,14
state,and,local,1,14,14
this,is,not,1,14,14
a,number,of,3,41,13.66666667
as,one,of,1,13,13
new,york,police,1,13,13
there,s,a,1,13,13
one,of,the,5,63,12.6
of,the,police,2,25,12.5
be,able,to,3,37,12.33333333
in,the,wake,1,12,12
much,of,the,1,12,12
nytimes,com,us,1,12,12
on,the,ground,1,12,12
police,and,the,1,12,12
that,the,nypd,1,12,12
that,the,police,2,24,12
the,suspect,s,1,12,12
the,wake,of,1,12,12
with,respect,to,1,12,12
with,the,police,1,12,12
a,result,of,2,23,11.5
washington,d,c,2,23,11.5
in,the,united,3,34,11.33333333
a,search,warrant,1,11,11
quality,of,life,1,11,11
the,early,s,1,11,11
to,have,a,1,11,11
the,new,york,4,42,10.5
in,federal,court,1,10,10
in,the,u,2,20,10
it,doesn,t,1,10,10
law,enforcement,is,1,10,10
rather,than,a,1,10,10
the,nature,of,1,10,10
law,enforcement,agencies,4,39,9.75
in,the,same,2,19,9.5
can,be,found,1,9,9
department,of,justice,3,27,9
for,those,who,1,9,9
it,is,also,1,9,9
law,enforcement,officials,1,9,9
of,the,public,1,9,9
over,the,past,1,9,9
people,who,are,1,9,9
policing,in,the,1,9,9
the,influence,of,1,9,9
the,process,of,1,9,9
the,so,called,1,9,9
to,the,department,1,9,9
up,with,the,1,9,9
the,united,states,7,62,8.857142857
some,of,the,3,26,8.666666667
but,it,s,1,8,8
can,be,a,1,8,8
large,amounts,of,1,8,8
limited,all,rights,1,8,8
of,the,internet,1,8,8
resulted,in,a,1,8,8
task,force,on,1,8,8
that,s,where,1,8,8
the,law,enforcement,1,8,8
the,result,of,1,8,8
the,same,time,2,16,8
there,is,little,1,8,8
to,be,in,1,8,8
york,police,department,1,8,8
crime,in,the,2,15,7.5
a,combination,of,1,7,7
at,a,time,1,7,7
in,the,early,1,7,7
law,enforcement,in,1,7,7
of,a,crime,1,7,7
of,domestic,violence,1,7,7
of,more,than,1,7,7
of,thousands,of,1,7,7
on,law,enforcement,1,7,7
related,to,the,1,7,7
review,of,the,1,7,7
the,end,of,2,14,7
the,police,in,1,7,7
are,going,to,2,13,6.5
new,york,times,2,13,6.5
as,part,of,5,31,6.2
as,a,result,9,55,6.111111111
according,to,police,1,6,6
being,used,to,1,6,6
departments,across,the,1,6,6
from,the,police,1,6,6
i,didn,t,1,6,6
in,the,community,1,6,6
is,a,good,1,6,6
more,than,a,3,18,6
number,of,officers,1,6,6
of,people,who,1,6,6
of,the,united,1,6,6
police,department,is,1,6,6
result,in,a,1,6,6
t,want,to,1,6,6
that,s,why,1,6,6
the,city,of,3,18,6
the,people,who,1,6,6
the,possibility,that,1,6,6
the,state,of,2,12,6
they,can,be,1,6,6
to,be,the,2,12,6
to,find,a,1,6,6
u,s,cities,1,6,6
under,the,current,1,6,6
uses,of,force,1,6,6
and,local,law,1,5,5
and,one,of,1,5,5
are,members,of,1,5,5
at,the,beginning,1,5,5
be,found,at,1,5,5
but,this,is,1,5,5
charges,in,the,1,5,5
city,of,los,3,15,5
copyright,plus,media,1,5,5
do,have,a,1,5,5
documents,us,official,1,5,5
federal,state,and,1,5,5
for,more,than,1,5,5
has,come,to,1,5,5
i,don,t,1,5,5
in,the,drug,1,5,5
in,the,next,1,5,5
in,to,in,1,5,5
involved,in,a,1,5,5
is,on,the,1,5,5
media,solutions,private,1,5,5
more,of,a,1,5,5
newswire,copyright,plus,1,5,5
of,documents,us,1,5,5
of,the,state,1,5,5
over,the,last,2,10,5
plus,media,solutions,1,5,5
police,departments,across,1,5,5
predict,and,prevent,1,5,5
private,limited,all,1,5,5
publication,type,newswire,1,5,5
solutions,private,limited,1,5,5
the,case,was,1,5,5
the,rules,of,1,5,5
the,suspect,is,2,10,5
there,are,many,1,5,5
there,are,some,1,5,5
there,have,been,1,5,5
this,article,or,1,5,5
this,kind,of,1,5,5
to,meet,the,1,5,5
to,predict,and,1,5,5
to,provide,a,1,5,5
type,newswire,copyright,1,5,5
up,in,the,1,5,5
us,official,news,1,5,5
want,to,know,1,5,5
we,do,have,1,5,5
who,had,been,1,5,5
will,be,the,1,5,5
will,continue,to,1,5,5
with,the,public,1,5,5
a,lot,of,3,14,4.666666667
found,in,the,2,9,4.5
of,the,department,2,9,4.5
to,commit,crimes,2,9,4.5
to,the,public,2,9,4.5
use,of,force,16,70,4.375
this,is,a,4,17,4.25
a,cell,phone,1,4,4
a,person,who,1,4,4
after,years,of,1,4,4
along,with,the,1,4,4
and,it,s,3,12,4
and,they,are,1,4,4
are,in,the,1,4,4
are,linked,to,1,4,4
are,working,on,1,4,4
around,the,country,2,8,4
by,members,of,1,4,4
could,be,a,1,4,4
