of documents 1 of 1
a and david 1 1
a basis for 3 1
a better understanding 1 1
a body of 3 1
a case by 2 2
a case study 6 1
a central part 1 1
a certain type 1 2
a cluster of 1 1
a combination of 6 1
a commitment to 1 1
a community s 2 1
a computer program 4 3
a consequence of 3 1
a couple of 5 3
a court to 1 1
a crime analyst 4 6
a crime and 3 2
a crime in 4 4
a crime is 3 1
a crime prevention 2 1
a critical review 1 1
a cultural shift 1 1
a culture of 2 1
a decline in 3 1
a decrease in 1 2
a degree of 1 1
a desire to 3 2
a difference between 2 1
a difference in 1 1
a division of 1 1
a downtown parking 1 2
a factor of 2 1
a federal government 1 1
a few blocks 1 1
a few minutes 1 1
a few years 10 5
a focus on 3 3
a form of 5 2
a free society 1 1
a good example 2 1
a great deal 19 4
a group of 5 2
a group that 2 1
a growing consensus 1 1
a handful of 6 1
a high degree 2 3
a high school 1 1
a home or 2 4
a host of 1 5
a lack of 7 2
a laptop computer 1 4
a large number 2 3
a law enforcement 5 1
a length words 2 2
a level of 3 1
a link between 1 1
a list of 8 2
a location flagged 1 1
a long history 1 1
a long time 1 1
a longitudinal analysis 3 1
a lot more 12 2
a lot of 29 6
a map of 4 1
a matter of 10 2
a means of 5 2
a means to 1 1
a method that 1 1
a model for 1 1
a model of 1 1
a more complex 2 1
a more effective 1 2
a more subtle 1 1
a more visible 1 1
a much greater 1 1
a national government 1 1
a national survey 1 1
a need to 1 1
a neighborhood so 1 4
a network of 1 1
a new paradigm 2 1
a new sheriff 11 1
a number of 17 10
a parked car 1 4
a part of 6 1
a path of 1 1
a path to 1 1
a period of 1 1
a place where 4 1
a police agency 4 1
a police department 8 3
a police officer 27 4
a police patrol 1 1
a post world 1 1
a predictive analytics 1 2
a predictive element 1 1
a problem oriented 3 1
a professor at 2 2
a range of 27 2
a rapid response 1 1
a rash of 3 2
a recession police 2 1
a reflection of 1 1
a result of 8 1
a review of 16 7
a sample of 3 2
a santa clara 1 1
a sense of 7 2
a series of 13 2
a set of 3 1
a small but 2 1
a software company 1 1
a sort of 1 1
a string of 1 1
a study of 10 3
a substantial number 1 1
a summary report 1 1
a survey of 2 4
a system of 1 1
a system that 2 2
a tale of 1 1
a team of 6 2
a theory based 2 1
a theory of 7 2
a time of 2 1
a time when 2 5
a timely basis 1 1
a variety of 35 8
a way of 7 1
a way that 8 5
a way to 8 3
a wide range 6 4
a year old 2 4
ability to track 2 1
about evidence that 1 1
about fighting crime 2 1
about half of 16 1
about how to 7 1
about percent of 20 1
about predictive policing 2 4
about some things 1 1
about the predictive 1 2
about the project 1 4
about to be 1 1
about what is 1 1
about what police 1 1
about what the 1 2
about which areas 1 2
abraham n the 1 1
absence of a 3 1
absence of evidence 1 1
absence of such 1 1
academy of sciences 1 2
acc no qc 3 4
accept or even 1 1
accomplished on a 1 1
according to a 5 1
according to the 7 2
account for the 4 1
accountable for the 2 1
accurately predicted the 1 1
achieve these goals 1 1
across the city 5 1
across the nation 1 2
acute sense of 2 1
adapt to the 3 1
add to this 1 1
addition there are 1 1
addition to the 3 1
adherence to the 1 1
adhering to the 1 1
administration of justice 3 2
administrative interventions on 1 1
administrative policy and 1 1
adopt and implement 1 1
adoption of personal 1 1
after a crime 1 4
after all it 1 2
after six months 1 2
after the fact 1 3
after the first 1 2
aftershocks from earthquakes 2 2
against the police 1 1
age chicago university 1 1
agencies around the 3 4
agencies have been 2 1
agencies have encouraged 1 1
agencies in a 1 1
agencies in the 3 1
agencies to provide 1 1
agency in the 14 4
ahead of the 3 3
albert j jr 2 2
algorithm to predict 2 1
all aspects of 2 1
all in the 2 1
all kinds of 1 1
all of the 13 1
all of these 6 1
all police officers 1 1
all rights reserved 48 9
all this is 1 1
allacademic com meta 1 1
allowing them to 2 1
along with the 8 1
alternative ways of 1 1
although it has 1 1
although there are 1 4
although there was 1 2
amazon about fighting 2 1
ambivalence about the 1 1
america new york 1 1
america s law 1 1
america s top 2 1
american criminal courts 1 1
american police agencies 1 18
american police research 1 1
american society of 5 3
american sociological review 4 3
among police agencies 1 1
amount of crime 5 1
amount of information 3 1
amount of time 6 1
amounts of information 4 1
an acute sense 2 1
an age of 2 6
an algorithm to 3 1
an analysis of 5 1
an appropriate time 1 1
an area of 5 1
an array of 6 3
an article by 1 1
an assistant professor 6 1
an average of 19 1
