of 1 of 1
a and 2 5
a bachelor 4 1
a back 1 1
a basis 8 1
a behavioral 1 1
a better 23 4
a big 38 4
a bit 14 1
a body 5 1
a book 12 1
a braga 12 7
a broad 26 1
a broader 8 1
a bureaucratic 1 1
a burglary 3 1
a campaign 2 1
a car 8 4
a careful 3 1
a case 31 3
a central 23 2
a certain 48 2
a chief 3 2
a city 41 2
a clear 23 1
a close 4 1
a cohesive 1 1
a college 2 1
a column 1 1
a combination 17 1
a commitment 6 1
a common 16 2
a community 49 8
a comparative 3 2
a complicated 2 1
a computer 51 4
a concern 14 1
a consequence 5 2
a consortium 3 1
a contract 3 1
a core 6 1
a couple 9 3
a court 38 1
a crew 1 1
a crime 116 23
a crisis 8 2
a critical 18 2
a cross 7 1
a cultural 12 1
a culture 8 1
a daily 7 2
a day 14 1
a decade 24 4
a decline 6 1
a decrease 5 2
a deep 5 1
a deeply 2 1
a degree 12 1
a department 17 2
a design 1 1
a desire 3 3
a detailed 6 1
a difference 4 2
a different 36 1
a disciplinary 1 1
a distinct 5 2
a distinctive 15 1
a diverse 6 1
a division 6 1
a doctorate 3 4
a downtown 1 2
a dramatic 4 1
a dynamic 4 2
a ed 1 1
a factor 31 1
a family 8 1
a feature 5 1
a federal 29 1
a few 63 16
a fire 1 1
a five 8 1
a focus 15 3
a form 29 2
a formal 9 1
a forward 3 1
a free 3 1
a full 18 4
a fully 5 1
a fuzzy 1 1
a geller 3 2
a generation 9 1
a given 52 8
a good 39 2
a great 32 4
a group 28 5
a growing 16 7
a growth 2 1
a hand 3 1
a handful 9 1
a hands 1 1
a haphazard 2 1
a hierarchical 3 1
a high 92 7
a higher 24 2
a highly 7 7
a historical 4 1
a home 13 8
a host 13 5
a hunch 7 1
a iii 2 1
a j 5 1
a jurisdiction 10 1
a key 21 1
a known 18 1
a lack 17 2
a laptop 2 4
a large 30 7
a largely 4 1
a larger 27 3
a law 38 1
a lawsuit 6 1
a legal 35 1
a length 4 2
a less 10 1
a level 7 1
a lighter 1 1
a link 8 1
a list 11 2
a little 18 2
a location 12 1
a long 34 4
a longitudinal 4 1
a loose 3 1
a lot 46 10
a major 24 5
a man 23 1
a map 11 3
a massive 13 1
a matter 36 2
a means 13 3
a mere 9 4
a meta 2 1
a method 10 1
a micro 6 1
a mile 2 1
a million 7 1
a minority 13 1
a model 35 4
a monolithic 3 1
a month 7 1
a more 111 15
a movement 5 1
a much 26 6
a narrow 9 1
a nation 5 1
a national 39 10
a nationally 3 2
a natural 12 2
a need 3 1
a neighborhood 38 6
a network 14 1
a new 140 12
a ninth 2 1
a normative 5 1
a notable 1 1
a number 83 10
a p 8 4
a part 25 1
a particular 116 1
a partnership 8 1
a path 4 3
a patrol 5 1
a pattern 25 3
a percent 8 2
a performance 3 1
a period 17 1
a persistent 1 1
a person 140 8
a place 8 1
a point 12 2
a police 158 14
a policing 6 1
a popular 2 1
a post 14 2
a powerful 13 4
a practice 5 1
a prediction 6 1
a predictive 38 3
a preference 2 1
a primary 7 1
a problem 32 3
a process 20 1
a professional 4 3
a professor 5 2
a profound 2 1
a project 8 3
a prolific 1 1
a prominent 1 1
a promotion 1 1
a proxy 8 1
a public 38 1
a punch 3 1
a qualified 1 1
a quick 7 1
a radical 3 2
a radically 1 1
a range 30 2
a rather 4 1
a rational 6 1
a rationale 4 1
a reactive 3 1
a reality 4 4
a reaves 4 1
a recent 48 3
a recession 3 1
a reduced 5 1
a reflection 1 1
a reform 7 1
a reliable 3 1
a reluctance 1 2
a remarkable 3 2
a remarkably 1 1
a remote 1 2
a representative 6 1
a result 120 2
a review 12 7
a rich 4 1
a rigorous 1 1
a robbery 13 1
a robust 9 1
a routine 4 1
a rural 2 2
a sample 5 2
a say 2 1
a science 4 4
a sea 2 1
a second 21 2
a self 11 1
a sense 18 2
a serial 3 1
a series 36 2
a set 21 1
a significant 52 5
a similar 40 1
a similarly 4 1
a single 41 4
a situation 15 2
a sizable 1 2
a skeptical 1 1
a slightly 5 1
a slow 2 1
a small 42 4
a smaller 2 1
a sociological 5 1
a software 8 1
a somewhat 3 3
a sort 1 1
a special 19 2
a standard 17 2
a stop 62 1
a story 4 1
a straightforward 1 1
a street 8 2
a string 2 1
a strong 34 3
a study 45 3
a subsequent 4 1
a substantial 15 3
a success 4 2
a sufficient 5 1
a summary 4 1
a survey 8 5
a suspect 113 1
a sustained 4 1
a system 48 12
a systematic 4 2
a tale 4 1
a team 11 4
a technical 5 2
a technology 6 1
a term 5 1
