police,culture,1,25,25
police,organizations,3,64,21.33333333
police,organization,2,41,20.5
organization,s,1,15,15
american,police,4,59,14.75
among,police,1,14,14
and,management,1,14,14
skogan,and,2,27,13.5
police,innovation,1,11,11
mastrofski,and,2,20,10
researchers,have,1,10,10
analyst,for,1,9,9
and,times,1,9,9
doing,the,1,9,9
involvement,in,1,9,9
police,as,1,9,9
the,rank,1,9,9
the,structures,1,9,9
and,anthony,1,8,8
four,days,1,8,8
mohler,said,2,16,8
of,change,1,8,8
reiss,p,1,8,8
size,and,1,8,8
command,and,1,7,7
cross,national,1,7,7
gathering,and,1,7,7
information,technologies,1,7,7
of,professionalism,1,7,7
of,studies,1,7,7
stephen,d,3,21,7
that,knowledge,1,7,7
these,reforms,1,7,7
time,magazine,1,7,7
d,mastrofski,2,13,6.5
nation,s,2,13,6.5
of,american,4,26,6.5
changes,that,1,6,6
culture,has,1,6,6
departments,with,1,6,6
influence,on,1,6,6
innovation,in,1,6,6
isolation,from,1,6,6
local,agencies,1,6,6
more,or,1,6,6
now,use,1,6,6
organization,and,1,6,6
policy,makers,1,6,6
practices,of,2,12,6
surveys,of,1,6,6
the,organizational,1,6,6
to,acquire,1,6,6
willis,mastrofski,1,6,6
of,political,2,11,5.5
a,and,1,5,5
a,host,1,5,5
beliefs,and,1,5,5
considerable,variation,1,5,5
crime,disorder,1,5,5
cross,sectional,1,5,5
encyclopedia,of,1,5,5
have,changed,1,5,5
home,burglaries,2,10,5
in,encyclopedia,1,5,5
late,twentieth,1,5,5
ma,mit,1,5,5
mit,press,1,5,5
new,it,1,5,5
one,was,1,5,5
organization,edited,1,5,5
other,nations,1,5,5
people,but,1,5,5
put,police,1,5,5
r,and,1,5,5
rather,to,1,5,5
satisfaction,with,1,5,5
structure,of,4,20,5
the,structure,2,10,5
university,professor,1,5,5
varieties,of,1,5,5
wesley,g,1,5,5
where,i,1,5,5
local,police,6,28,4.666666667
mohler,s,3,14,4.666666667
an,international,2,9,4.5
organizations,in,2,9,4.5
organizations,to,2,9,4.5
service,delivery,2,9,4.5
of,terrorism,3,13,4.333333333
and,practices,6,25,4.166666667
a,laptop,1,4,4
a,reality,1,4,4
academy,of,2,8,4
an,innovation,1,4,4
and,eck,1,4,4
and,methods,1,4,4
anticipate,that,1,4,4
at,no,1,4,4
broken,into,1,4,4
burglars,often,1,4,4
but,others,1,4,4
by,maurice,1,4,4
call,meetings,1,4,4
change,that,1,4,4
combat,crime,1,4,4
computer,in,1,4,4
contemporary,police,1,4,4
crime,predictions,1,4,4
cruz,santa,1,4,4
data,this,1,4,4
decide,how,1,4,4
drawing,on,1,4,4
especially,the,1,4,4
extra,checks,1,4,4
him,at,1,4,4
indicator,of,1,4,4
information,gathering,1,4,4
instance,and,1,4,4
intelligence,gathering,1,4,4
international,association,1,4,4
into,at,1,4,4
it,friend,1,4,4
it,if,1,4,4
j,and,1,4,4
justice,http,1,4,4
laptop,computer,1,4,4
later,or,1,4,4
maurice,punch,1,4,4
mohler,a,2,8,4
mohler,has,1,4,4
neighborhood,so,1,4,4
new,statistical,1,4,4
of,governance,1,4,4
often,return,1,4,4
or,break,1,4,4
organization,is,1,4,4
parked,car,1,4,4
pass,through,1,4,4
patrol,work,1,4,4
patrolling,a,1,4,4
percent,had,1,4,4
place,a,1,4,4
police,whether,1,4,4
policing,have,1,4,4
private,policing,2,8,4
punch,cambridge,1,4,4
re,the,1,4,4
recognized,by,1,4,4
repertoire,of,1,4,4
reports,about,1,4,4
s,data,1,4,4
s,local,1,4,4
spikes,in,1,4,4
star,tribune,1,4,4
start,in,1,4,4
steal,from,1,4,4
technologies,may,1,4,4
technology,on,1,4,4
the,governance,1,4,4
the,sorts,1,4,4
the,technical,1,4,4
the,thief,1,4,4
times,to,1,4,4
to,consolidate,1,4,4
were,likely,1,4,4
while,it,1,4,4
who,successfully,1,4,4
why,but,1,4,4
will,receive,1,4,4
work,has,1,4,4
york,wiley,1,4,4
you,put,1,4,4
weisburd,and,7,26,3.714285714
david,weisburd,5,18,3.6
and,administrative,2,7,3.5
and,file,2,7,3.5
community,groups,2,7,3.5
compstat,and,2,7,3.5
computer,programs,2,7,3.5
practice,and,2,7,3.5
rank,and,2,7,3.5
studies,have,2,7,3.5
edited,by,17,58,3.411764706
and,long,3,10,3.333333333
mohler,and,3,10,3.333333333
nation,to,3,10,3.333333333
the,culture,3,10,3.333333333
american,policing,6,19,3.166666667
about,police,1,3,3
agencies,the,1,3,3
although,some,1,3,3
among,american,1,3,3
an,interesting,1,3,3
and,performance,1,3,3
and,procedures,1,3,3
and,processes,1,3,3
and,success,1,3,3
b,police,1,3,3
baxter,santa,1,3,3
beck,and,1,3,3
been,widely,1,3,3
between,police,1,3,3
boston,little,1,3,3
bratton,william,1,3,3
burglaries,to,1,3,3
by,community,1,3,3
byline,stephen,1,3,3
can,it,1,3,3
challenge,of,1,3,3
citizens,requests,1,3,3
communities,they,1,3,3
community,partnerships,1,3,3
control,for,1,3,3
cultural,shift,1,3,3
cultures,of,1,3,3
d,and,2,6,3
david,j,1,3,3
david,n,1,3,3
dc,bureau,1,3,3
derive,from,1,3,3
desire,for,1,3,3
earthquake,prediction,2,6,3
employed,in,1,3,3
end,he,1,3,3
envisions,a,1,3,3
especially,those,1,3,3
facing,a,1,3,3
first,half,1,3,3
for,everyone,1,3,3
g,skogan,1,3,3
governance,in,1,3,3
highest,probability,1,3,3
ideas,in,1,3,3
implementation,and,1,3,3
implemented,the,1,3,3
in,small,1,3,3
information,sharing,1,3,3
leaders,who,1,3,3
little,brown,1,3,3
little,or,1,3,3
long,enough,1,3,3
many,decades,1,3,3
measure,the,1,3,3
meeting,the,1,3,3
might,expect,1,3,3
motor,vehicle,1,3,3
next,level,1,3,3
no,change,1,3,3
of,agencies,3,9,3
of,doing,1,3,3
of,effects,1,3,3
of,internal,1,3,3
of,organizations,1,3,3
of,questions,1,3,3
of,scientific,2,6,3
of,service,1,3,3
offer,a,1,3,3
offered,by,1,3,3
officials,in,1,3,3
opportunities,to,1,3,3
